idx,coords,col_2,type,nom,dict,gestionnaire,sens,double
0,"[44.6046, -0.36962]","[0, 1]",EC,Podensac,"{'numero': '2', 'roadname': 'A62'}",,,
1,"[44.645971, -0.434337]","[-0.532729, 0.846286]",AS,A62 - TERRES DES GRAVES NORD,{'roadname': 'A62'},ASF,TOULOUSE-BORDEAUX,
2,"[44.646515, -0.437608]","[0.542148, -0.840283]",AS,A62 - TERRES DES GRAVES SUD,{'roadname': 'A62'},ASF,BORDEAUX-TOULOUSE,
3,"[44.6592, -0.45403699999999997]","[0.7071069999999999, -0.7071069999999999]",BA,Saint Selve,{'roadname': 'A62'},,,
4,"[44.6938, -0.496154]","[0, 1]",EC,La Brêde,"{'numero': '1.1', 'roadname': 'A62'}",,,
5,"[44.9021, -0.493648]","[0, 1]",EC,Carbon Blanc,"{'numero': '44', 'roadname': 'A10'}",,,
6,"[44.8914, -0.501698]","[0, 1]",EC,Lormont,"{'numero': '45', 'roadname': 'A10'}",,,
7,"[44.8914, -0.501705]","[0, 1]",EC,Lormont,"{'numero': '45', 'roadname': 'A10'}",,,
8,"[44.9097, -0.488668]","[0, 1]",EC,Saint Eulalie,"{'numero': '43', 'roadname': 'A10'}",,,
9,"[44.8849, -0.51056]","[0, 1]",LI,Debut A10,{'roadname': 'A10'},,,
10,"[44.9299, -0.469556]","[0, 1]",EC,Ambarès-Saint Loubès,"{'numero': '42', 'roadname': 'A10'}",,,
11,"[44.9475, -0.464931]","[0, 1]",EC,Ambès,"{'numero': '41', 'roadname': 'A10'}",,,
12,"[44.977912, -0.432683]","[-0.26404099999999997, -0.964511]",AS,A10 - L'ESTALOT,{'roadname': 'A10'},ASF,PARIS-BORDEAUX,
13,"[44.975143, -0.432294]","[0.283848, 0.958869]",AS,A10 - MEILLAC,{'roadname': 'A10'},ASF,BORDEAUX-PARIS,
14,"[44.986, -0.42769799999999997]","[0, 1]",EC,Saint André,"{'numero': '40', 'roadname': 'A10'}",,,
15,"[44.8851, -0.268632]","[0.0348995, 0.9993909999999999]",BA,Barrière d'Arveyres,{'roadname': 'A89'},,,
16,"[44.8737, -0.28587599999999996]","[0, 1]",EC,Libourne Ouest,"{'numero': '9', 'roadname': 'A89'}",,,
17,"[44.9598, -0.247185]","[0, 1]",EC,Libourne Nord,"{'numero': '10', 'roadname': 'A89'}",,,
18,"[44.98, -0.17958000000000002]","[-0.906897, -0.421352]",AR,Vignes Nord,{'roadname': 'A89'},,,
19,"[44.98, -0.17958000000000002]","[0.733255, 0.6799529999999999]",AR,Vignes Sud,{'roadname': 'A89'},,,
20,"[45.0236, -0.43558199999999997]","[0.26707000000000003, -0.963677]",BA,Barrière de Virsac,{'roadname': 'A10'},,,
21,"[45.0128, -0.42980799999999997]","[0, 1]",EC,Libourne/Saint Antoine,"{'numero': '39', 'roadname': 'A10'}",,,
22,"[45.0666, -0.461825]","[-0.27160799999999996, 0.9624079999999999]",AR,Cezac,{'roadname': 'A10'},,,
23,"[45.1075, -0.48274599999999995]","[0.125853, -0.992049]",AR,Saint Christoly,{'roadname': 'A10'},,,
24,"[45.3714, -0.593244]","[0, 1]",EC,Mirambeau,"{'numero': '37', 'roadname': 'A10'}",,,
25,"[45.189099, -0.490683]","[-0.22597099999999998, 0.9741339999999999]",AS,A10 - SAUGON EST,{'roadname': 'A10'},ASF,BORDEAUX-PARIS,
26,"[45.189967, -0.492867]","[0.243446, -0.969915]",AS,A10 - SAUGON OUEST,{'roadname': 'A10'},ASF,PARIS-BORDEAUX,
27,"[45.2552, -0.542816]","[0, 1]",EC,Blaye-Montendre,"{'numero': '38', 'roadname': 'A10'}",,,
28,"[45.3137, -0.558726]","[-0.0687118, 0.997637]",AR,Boisredon,{'roadname': 'A10'},,,
29,"[45.297, -0.554901]","[0.17330399999999999, -0.984868]",AR,Saint Caprais,{'roadname': 'A10'},,,
30,"[44.983, 0.153823]","[0, 1]",EC,Montpont,"{'numero': '12', 'roadname': 'A89'}",,,
31,"[45.0094, -0.095207]","[0, 1]",EC,Coutras,"{'numero': '11', 'roadname': 'A89'}",,,
32,"[45.001552, 0.036716]","[0.9722069999999999, -0.234124]",AS,A89 - LES PALOMBIERES,{'roadname': 'A89'},ASF,LYON-BORDEAUX,D
33,"[45.0126, 0.380756]","[0, 1]",EC,Mussidan Sud,"{'numero': '13', 'roadname': 'A89'}",,,
34,"[45.0654, 0.429766]","[0.5, 0.8660249999999999]",BA,Barrière de Mussidan/Sourzac,{'roadname': 'A89'},,,
35,"[45.0675, 0.43321000000000004]","[0, 1]",EC,Mussidan Est,"{'numero': '13.1', 'roadname': 'A89'}",,,
36,"[45.1407, 0.5485369999999999]","[0, 1]",EC,Périgueux Ouest,"{'numero': '14', 'roadname': 'A89'}",,,
37,"[45.141, 0.699422]","[0, 1]",EC,Périgueux Sud,"{'numero': '15', 'roadname': 'A89'}",,,
38,"[45.4418, -0.607668]","[-0.08054689999999999, 0.9967509999999999]",AR,Saint-Ciers Est,{'roadname': 'A10'},,,
39,"[45.4418, -0.607668]","[0.27563699999999997, -0.961262]",AR,Saint-Ciers Ouest,{'roadname': 'A10'},,,
40,"[45.5129, -0.612663]","[0.045188599999999995, 0.9989779999999999]",AR,Saint-Palais Est,{'roadname': 'A10'},,,
41,"[45.5129, -0.612663]","[-0.0974092, -0.9952439999999999]",AR,Saint-Palais Ouest,{'roadname': 'A10'},,,
42,"[45.5763, -0.599828]","[0, 1]",EC,Pons,"{'numero': '36', 'roadname': 'A10'}",,,
43,"[45.7046, -0.651922]","[-0.15057099999999998, 0.988599]",AR,Chermignac Est,{'roadname': 'A10'},,,
44,"[45.7046, -0.651922]","[0.24632199999999999, -0.9691879999999999]",AR,Chermignac Ouest,{'roadname': 'A10'},,,
45,"[45.7984, -0.6585559999999999]","[0.422618, 0.906308]",AR,Port d'envaux Est,{'roadname': 'A10'},,,
46,"[45.7984, -0.6585559999999999]","[-0.422618, -0.906308]",AR,Port d'Envaux Ouest,{'roadname': 'A10'},,,
47,"[45.7833, -0.667852]","[0, 1]",BI,Jonction A10/A837,{'roadname': 'A837'},,,
48,"[45.7542, -0.6720419999999999]","[0, 1]",EC,Saintes,"{'numero': '35', 'roadname': 'A10'}",,,
49,"[45.8412, -0.713061]","[-0.15298599999999998, 0.988228]",AR,La Pierre de Crazannes,{'roadname': 'A837'},,,
50,"[45.8672, -0.732717]","[0.174508, -0.984656]",AR,Oiseaux,{'roadname': 'A837'},,,
51,"[45.9619, -0.958067]","[0, 1]",EC,Rochefort Nord,"{'numero': '32', 'roadname': 'A837'}",,,
52,"[45.9671, -0.9782829999999999]","[0, 1]",EC,Rochefort Ouest,"{'numero': '31', 'roadname': 'A837'}",,,
53,"[45.9441, -0.8491000000000001]","[0.573576, -0.819152]",BA,Barrière de Cabariot,{'roadname': 'A837'},,,
54,"[45.9541, -0.8574379999999999]","[0, 1]",EC,Tonnay - RD739,"{'numero': '34', 'roadname': 'A837'}",,,
55,"[45.956, -0.887536]","[0, 1]",EC,Tonnay - RD137,"{'numero': '33', 'roadname': 'A837'}",,,
56,"[45.9698, -0.9838669999999999]","[0, 1]",LI,Début A837,{'roadname': 'A837'},,,
57,"[45.9666, -0.549978]","[0, 1]",EC,Saint Jean d'Angely,"{'numero': '34', 'roadname': 'A10'}",,,
58,"[46.0106, -0.5406909999999999]","[0.030189599999999997, 0.999544]",AR,La Benâte,{'roadname': 'A10'},,,
59,"[46.0239, -0.5409809999999999]","[-0.105917, -0.994375]",AR,Lozay,{'roadname': 'A10'},,,
60,"[46.6436, -1.5183900000000001]","[0, 1]",EC,La Roche/Yon Ouest,"{'numero': '33', 'roadname': 'A87'}",,,
61,"[46.6427, -1.5239500000000001]","[0, 1]",LI,Fin A87,{'roadname': 'A87'},,,
62,"[46.6374, -1.39843]","[0, 1]",EC,La Roche/Yon Centre,"{'numero': '31', 'roadname': 'A87'}",,,
63,"[46.6279, -1.43763]","[0, 1]",EC,La Roche/Yon Sud,"{'numero': '32', 'roadname': 'A87'}",,,
64,"[46.5369, -1.07859]","[0, 1]",EC,Sainte Hermine,"{'numero': '7', 'roadname': 'A83'}",,,
65,"[46.6281, -1.14814]","[0, 1]",EC,Chantonnay,"{'numero': '6', 'roadname': 'A83'}",,,
66,"[46.572788, -1.116394]","[-0.393621, 0.919273]",AS,A83 - VENDEE,{'roadname': 'A83'},ASF,NANTES-NIORT,D
67,"[46.1155, -0.53368]","[0.0106463, 0.9999429999999999]",AR,Doeuil-sur-le-Mignon Est,{'roadname': 'A10'},,,
68,"[46.1155, -0.53368]","[-0.102619, -0.994721]",AR,Doeuil-sur-le-Mignon Ouest,{'roadname': 'A10'},,,
69,"[46.2227, -0.44829199999999997]","[-0.343987, -0.938974]",AR,Gript Nord,{'roadname': 'A10'},,,
70,"[46.2227, -0.44829199999999997]","[0.481448, 0.876475]",AR,Gript Sud,{'roadname': 'A10'},,,
71,"[46.2384, -0.435938]","[0, 1]",EC,La Rochelle-Niort,"{'numero': '33', 'roadname': 'A10'}",,,
72,"[46.2964, -0.37570899999999996]","[-0.786504, -0.6175849999999999]",AS,Poitou Charentes Nord,{'roadname': 'A10'},,,
73,"[46.2981, -0.37111099999999997]","[0.786504, 0.6175849999999999]",AS,Poitou Charentes Sud,{'roadname': 'A10'},,,
74,"[46.3057, -0.35866899999999996]","[0, 1]",EC,Limoges-Niort,"{'numero': '32', 'roadname': 'A10'}",,,
75,"[46.4466, -0.852074]","[-0.5781419999999999, 0.815936]",AR,Auzay Est,{'roadname': 'A83'},,,
76,"[46.454, -0.864177]","[0.8071659999999999, -0.590324]",AR,Auzay Ouest,{'roadname': 'A83'},,,
77,"[46.4333, -0.818726]","[0, 1]",EC,Fontenay le Comte,"{'numero': '8', 'roadname': 'A83'}",,,
78,"[46.4599, -0.881687]","[0, 1]",EC,Fontenay Ouest,"{'numero': '7.1', 'roadname': 'A83'}",,,
79,"[46.3909, -0.656785]","[0, 1]",EC,Niort Ouest,"{'numero': '9', 'roadname': 'A83'}",,,
80,"[46.415, -0.398269]","[0, 1]",EC,Niort Nord,"{'numero': '10', 'roadname': 'A83'}",,,
81,"[46.430768, -0.503303]","[-0.998382, 0.056867]",AS,A83 - LA CANEPETIERE,{'roadname': 'A83'},ASF,NIORT-NANTES,
82,"[46.42864253, -0.506474165]","[0.9791519999999999, 0.203129]",AS,A83 - LA CHATEAUDRIE,{'roadname': 'A83'},ASF,NANTES-NIORT,
83,"[46.3574, -0.271626]","[-0.620601, -0.784127]",AR,Sainte Néomaye Nord,{'roadname': 'A10'},,,
84,"[46.3574, -0.271626]","[0.6211479999999999, 0.783693]",AR,Sainte Néomaye Sud,{'roadname': 'A10'},,,
85,"[46.3453, -0.299963]","[0, 1]",BI,jonction A10/A83,{'roadname': 'A83'},,,
86,"[46.3555, -0.33750399999999997]","[0, 1]",EC,Niort Est,"{'numero': '11', 'roadname': 'A83'}",,,
87,"[46.4148, -0.12111000000000001]","[-0.875296, -0.48358799999999996]",AR,Sainte Eanne Nord,{'roadname': 'A10'},,,
88,"[46.4148, -0.12111000000000001]","[0.917962, 0.396667]",AR,Sainte Eanne Sud,{'roadname': 'A10'},,,
89,"[46.452634, -0.018268]","[-0.8308869999999999, -0.556441]",AS,A10 - ROUILLE PAMPROUX NORD,{'roadname': 'A10'},ASF,PARIS-BORDEAUX,
90,"[46.45177936, -0.016980457]","[0.7858569999999999, 0.618408]",AS,A10 - ROUILLE PAMPROUX SUD,{'roadname': 'A10'},ASF,BORDEAUX-PARIS,
91,"[46.4292, -0.0818305]","[0, 1]",EC,Saint Maix-Lusignan,"{'numero': '31', 'roadname': 'A10'}",,,
92,"[46.5111, 0.147397]","[-0.982483, 0.186353]",AR,Coulombiers Nord,{'roadname': 'A10'},,,
93,"[46.5111, 0.147397]","[0.975726, 0.218995]",AR,Coulombiers Sud,{'roadname': 'A10'},,,
94,"[46.5663, 0.28779499999999997]","[0.14435599999999998, 0.9895259999999999]",AR,Les Quatre vents,{'roadname': 'A10'},,,
95,"[46.5534, 0.28182399999999996]","[0, 1]",EC,Poitiers Sud,"{'numero': '30', 'roadname': 'A10'}",,,
96,"[46.5989, 0.310122]","[-0.566981, -0.823731]",AR,Cent Septiers,{'roadname': 'A10'},,,
97,"[46.6232, 0.34818000000000005]","[0, 1]",EC,Poitiers Nord,"{'numero': '29', 'roadname': 'A10'}",,,
98,"[48.4075, -2.40962]","[0, 1]",BI,Jonction N12/N176,{'roadname': 'N176'},,,
99,"[48.4163, -2.3156600000000003]","[0, 1]",EC,Jugon les Lacs,{'roadname': 'N176'},,,
100,"[48.4082, -2.34471]","[0, 1]",EC,Plédéliac,{'roadname': 'N176'},,,
101,"[48.4082, -2.34471]","[0, 1]",EC,Plédéliac,{'roadname': 'N176'},,,
102,"[48.4163, -2.3156600000000003]","[0, 1]",EC,Jugon les Lacs,{'roadname': 'N176'},,,
103,"[48.4368, -2.14494]","[0, 1]",EC,Vildé-Guingalan,{'roadname': 'N176'},,,
104,"[48.4265, -2.18635]","[-0.9961949999999999, -0.0871557]",AR,Aire du Pays de Plélan,{'roadname': 'N176'},,,
105,"[48.426, -2.22003]","[0, 1]",EC,Plélan le Petit,{'roadname': 'N176'},,,
106,"[48.426, -2.22003]","[0, 1]",EC,Plélan le Petit,{'roadname': 'N176'},,,
107,"[48.4265, -2.18635]","[0.9848079999999999, 0.173648]",AR,Aire du Pays de Plélan,{'roadname': 'N176'},,,
108,"[48.4368, -2.14494]","[0, 1]",EC,Vildé-Guingalan,{'roadname': 'N176'},,,
109,"[48.4486, -2.09328]","[0, 1]",EC,Quévert,{'roadname': 'N176'},,,
110,"[48.4486, -2.09328]","[0, 1]",EC,Quévert,{'roadname': 'N176'},,,
111,"[48.5207, -2.03811]","[0, 1]",EC,Pleslin-Trigavou,{'roadname': 'N176'},,,
112,"[48.481700000000004, -2.04316]","[0, 1]",EC,Taden,{'roadname': 'N176'},,,
113,"[48.481700000000004, -2.04316]","[0, 1]",EC,Taden,{'roadname': 'N176'},,,
114,"[48.5207, -2.03811]","[0, 1]",EC,Pleslin-Trigavou,{'roadname': 'N176'},,,
115,"[48.4688, -2.06015]","[0, 1]",EC,Dinan Z.I.,{'roadname': 'N176'},,,
116,"[48.4688, -2.06015]","[0, 1]",EC,Dinan Z.I.,{'roadname': 'N176'},,,
117,"[48.5449, -1.9223500000000002]","[0, 1]",EC,Miniac-Morvan,{'roadname': 'N176'},,,
118,"[48.5412, -1.9571100000000001]","[0, 1]",EC,1/2 échangeur La Ville-ès-Nonais,{'roadname': 'N176'},,,
119,"[48.535, -2.01173]","[0, 1]",EC,Saint-Georges-de-Gréhaigne,{'roadname': 'N176'},,,
120,"[48.535, -2.01173]","[0, 1]",EC,Saint-Georges-de-Gréhaigne,{'roadname': 'N176'},,,
121,"[48.5412, -1.9571100000000001]","[0, 1]",EC,1/2 échangeur La Ville-ès-Nonais,{'roadname': 'N176'},,,
122,"[48.5449, -1.9223500000000002]","[0, 1]",EC,Miniac-Morvan,{'roadname': 'N176'},,,
123,"[46.6728, -1.3460100000000002]","[-0.819152, -0.573576]",BA,La Roche/Yon Est,{'roadname': 'A87'},,,
124,"[46.6702, -1.35296]","[0, 1]",EC,La Roche/Yon Est,"{'numero': '30', 'roadname': 'A87'}",,,
125,"[46.7678, -1.17855]","[0.44401, -0.896022]",AR,Grissay,{'roadname': 'A83'},,,
126,"[46.7678, -1.17855]","[-0.337752, 0.9412349999999999]",AR,Sainte Florence,{'roadname': 'A83'},,,
127,"[46.7922, -1.19876]","[0, 1]",EC,Les Essarts,"{'numero': '5', 'roadname': 'A83'}",,,
128,"[46.873808, -1.284626]","[-0.15471000000000001, 0.9879600000000001]",AS,A83 - CHAVAGNES,{'roadname': 'A83'},ASF,NIORT-NANTES,
129,"[46.878281, -1.289025]","[0.30353399999999997, -0.9528209999999999]",AS,A83 - LES BROUZILS,{'roadname': 'A83'},ASF,NANTES-NIORT,
130,"[46.8084, -1.20805]","[0, 1]",BI,jonction A83/A87,{'roadname': 'A87'},,,
131,"[46.903943, -1.047673]","[0.553246, 0.8330179999999999]",AS,A87 - LES HERBIERS,{'roadname': 'A87'},ASF,LA ROCHE/YON-ANGERS,
132,"[46.9032, -1.05475]","[0, 1]",EC,Les Herbiers,"{'numero': '29', 'roadname': 'A87'}",,,
133,"[47.1147, -1.49195]","[0.5, -0.8660249999999999]",BA,Le Bignon,{'roadname': 'A83'},,,
134,"[47.1319, -1.50718]","[0, 1]",EC,La Cour Neuve,"{'numero': '2', 'roadname': 'A83'}",,,
135,"[46.9609, -1.3577]","[0, 1]",EC,Montaigu,"{'numero': '4', 'roadname': 'A83'}",,,
136,"[47.0219, -1.39843]","[-0.383167, 0.9236789999999999]",AR,Remouillé Est,{'roadname': 'A83'},,,
137,"[47.0219, -1.39843]","[0.36113599999999996, -0.9325129999999999]",AR,Remouillé Ouest,{'roadname': 'A83'},,,
138,"[47.0739, -1.4390800000000001]","[0, 1]",EC,Aigrefeuille,"{'numero': '3', 'roadname': 'A83'}",,,
139,"[46.9415, -0.9737119999999999]","[0, 1]",EC,La Verrie,"{'numero': '28', 'roadname': 'A87'}",,,
140,"[47.0164, -0.8776649999999999]","[0, 1]",EC,Cholet Sud,"{'numero': '27', 'roadname': 'A87'}",,,
141,"[47.0865, -0.8240959999999999]","[0, 1]",EC,Cholet Nord,"{'numero': '26', 'roadname': 'A87'}",,,
142,"[47.135137, -0.826369]","[0.031236299999999998, 0.999512]",AS,A87 - TREMENTINES,{'roadname': 'A87'},ASF,ANGERS-LA ROCHE/YON,D
