idx,coords,col_2,type,nom,dict,gestionnaire,sens,double
809,"[48.538894, 7.580753]","[0, 1]",AS,A355 - BRUCHE,{'roadname': 'A355'},ARCOS,vendenheim-innenheim,D
1,"[44.645971, -0.434337]","[-0.532729, 0.846286]",AS,A62 - TERRES DES GRAVES NORD,{'roadname': 'A62'},ASF,TOULOUSE-BORDEAUX,
2,"[44.646515, -0.437608]","[0.542148, -0.840283]",AS,A62 - TERRES DES GRAVES SUD,{'roadname': 'A62'},ASF,BORDEAUX-TOULOUSE,
12,"[44.977912, -0.432683]","[-0.26404099999999997, -0.964511]",AS,A10 - L'ESTALOT,{'roadname': 'A10'},ASF,PARIS-BORDEAUX,
13,"[44.975143, -0.432294]","[0.283848, 0.958869]",AS,A10 - MEILLAC,{'roadname': 'A10'},ASF,BORDEAUX-PARIS,
25,"[45.189099, -0.490683]","[-0.22597099999999998, 0.9741339999999999]",AS,A10 - SAUGON EST,{'roadname': 'A10'},ASF,BORDEAUX-PARIS,
26,"[45.189967, -0.492867]","[0.243446, -0.969915]",AS,A10 - SAUGON OUEST,{'roadname': 'A10'},ASF,PARIS-BORDEAUX,
32,"[45.001552, 0.036716]","[0.9722069999999999, -0.234124]",AS,A89 - LES PALOMBIERES,{'roadname': 'A89'},ASF,LYON-BORDEAUX,D
66,"[46.572788, -1.116394]","[-0.393621, 0.919273]",AS,A83 - VENDEE,{'roadname': 'A83'},ASF,NANTES-NIORT,D
81,"[46.430768, -0.503303]","[-0.998382, 0.056867]",AS,A83 - LA CANEPETIERE,{'roadname': 'A83'},ASF,NIORT-NANTES,
82,"[46.42864253, -0.506474165]","[0.9791519999999999, 0.203129]",AS,A83 - LA CHATEAUDRIE,{'roadname': 'A83'},ASF,NANTES-NIORT,
89,"[46.452634, -0.018268]","[-0.8308869999999999, -0.556441]",AS,A10 - ROUILLE PAMPROUX NORD,{'roadname': 'A10'},ASF,PARIS-BORDEAUX,
90,"[46.45177936, -0.016980457]","[0.7858569999999999, 0.618408]",AS,A10 - ROUILLE PAMPROUX SUD,{'roadname': 'A10'},ASF,BORDEAUX-PARIS,
