p_max,p_cum,id_station,operateur,amenageur,longitude,latitude
50.0,244.0,FRPD1PGSTBEV,Power Dot France,Power Dot France,2.115794,49.412959
120.0,252.0,FREVZP78E616B47BA04413B78DCFB584AB2,EVzen,Norauto - Bornes publiques,2.37817,47.110352
17.0,17.0,FRS41P2925,Modulo,Modulo Energies,1.865448,47.268447
320.0,480.0,FRIENP005901,NW IECharge,NW IECharge,1.21332,47.05409
300.0,600.0,FRVIAP2012205803,ENGIE Vianeo,ENGIE Vianeo,4.11895,46.4686
17.0,17.0,FRS28P218689,Modulo,Modulo Energies,0.897137,48.194691
100.0,572.0,FRPD1PMDTPRP,Power Dot France,Power Dot France,2.890126,42.675371
150.0,350.0,FRALLPGO900289,Allego,Allego,1.097685,49.329042
17.0,17.0,FRS55P66579,Modulo,Modulo Energies,5.383243,49.163453
250.0,4000.0,FRTSLP29713,Tesla,Tesla,5.796896,43.818865
300.0,600.0,FRVIAP1000116960,ENGIE Vianeo,ENGIE Vianeo,1.3265,43.957677
160.0,982.0,FRPD1PMBRMTB,Power Dot France,Power Dot France,1.332604,43.987945
150.0,300.0,FRALLPGO900406,Allego,Allego,6.453136,43.527613
300.0,300.0,FRELCPM2TY,Electra,Electra,0.223741,49.506783
320.0,480.0,FRIENP004101,NW IECharge,NW IECharge,1.56678,49.01664
320.0,480.0,FRIENP003601,NW IECharge,NW IECharge,0.389028,49.017264
17.0,17.0,FRS41P4717,Modulo,Modulo Energies,2.05053,47.42555
50.0,122.0,FRPD1PVDTPSA,Power Dot France,Power Dot France,6.693174,43.452293
300.0,300.0,FRELCPJSXX,Electra,Electra,4.792899,45.679781
300.0,300.0,FRELCPL3QU,Electra,Electra,1.90848,43.877291
400.0,400.0,FRELCPSRKM,Electra,Electra,5.019728,47.278906
50.0,122.0,FRPD1PITMCOR,Power Dot France,Power Dot France,4.902064,45.659657
18.0,36.0,FRS77E77318001,Bouygues E&S,Ecocharge77,2.915816,48.789227
22.0,112.3,FRETIP23076A,E-Totem,E-Totem,2.487862,46.183381
400.0,400.0,FRELCPVSCR,Electra,Electra,5.019728,47.278906
200.0,672.0,FRPD1PITMUNI,Power Dot France,Power Dot France,1.470931,43.655185
50.0,50.0,FRALLPGO000148,Allego,Allego,4.93273,44.9218
22.0,22.0,FRELCP32GL,Electra,Electra,7.363967,48.127759
17.0,17.0,FRS51P43901,Modulo,Modulo Energies,3.758175,49.100557
300.0,300.0,FRELCP3Z9Y,Electra,Electra,4.876109,45.019158
150.0,502.3,FRETIP12145A,E-Totem,E-Totem,3.066401,44.091089
17.0,17.0,FRS37P221488,Modulo,Modulo Energies,0.976555,47.424187
22.0,44.0,FRALLPGO999023,Allego,Allego,-0.293743,49.164476
22.0,44.0,FRS77E77127002,Bouygues E&S,Ecocharge77,2.695989,48.670251
22.0,44.0,FRALLPGO900653,Allego,Allego,-0.84269,47.075201
75.0,150.0,FRALLPGO900052,Allego,Allego,5.262299,43.432074
24.0,46.0,FRS77E77393002,Bouygues E&S,Ecocharge77,2.963885,48.680966
150.0,502.3,FRETIP47324A,E-Totem,E-Totem,0.737311,44.635428
17.0,17.0,FRS28P232687,Modulo,Modulo Energies,1.252364,48.44903
17.0,17.0,FRS28P137401,Modulo,Modulo Energies,1.463518,48.450539
17.0,17.0,FRS55P66578,Modulo,Modulo Energies,5.383243,49.163453
100.0,572.0,FRPD1PMATJAR,Power Dot France,Power Dot France,5.863113,49.166006
50.0,244.0,FRPD1PTRNORG02,Power Dot France,Power Dot France,4.851989,44.109519
300.0,600.0,FRVIAP1234621957,ENGIE Vianeo,ENGIE Vianeo,1.360907,43.813026
17.0,17.0,FRS51P41134,Modulo,Modulo Energies,4.1323,49.197361
18.0,36.0,FRS77E77384001,Bouygues E&S,Ecocharge77,2.62365,48.610615
200.0,672.0,FRPD1PSOFAUB,Power Dot France,Power Dot France,3.127752,45.756718
300.0,600.0,FRVIAP1000130103,ENGIE Vianeo,ENGIE Vianeo,6.661877,49.132546
320.0,480.0,FRIENP008601,NW IECharge,NW IECharge,6.09642,48.47696
17.0,17.0,FRS37P221214,Modulo,Modulo Energies,0.266909,47.282613
22.0,22.0,FRELCPVCKZ,Electra,Electra,2.074708,48.755001
