p_max,p_cum,id_station,operateur,amenageur,longitude,latitude
120.0,262.0,FREVZP281C04F0E96C4835AE1FF11D8FDEF,EVzen,Norauto - Bornes publiques,4.92037,44.943271
120.0,251.0,FREVZPABE6D91D0A0E48E1874FF78A13F53,EVzen,Teychene - Bornes publiques,5.094418,45.056526
50.0,122.0,FRPD1PBDMMTL,Power Dot France,Power Dot France,4.745278,44.535391
60.0,132.0,FRPD1PITMANN,Power Dot France,Power Dot France,4.897005,45.274321
100.0,272.0,FRPD1PKFCMTL,Power Dot France,Power Dot France,4.743961,44.525627
100.0,322.0,FRPD1PKFCVAL,Power Dot France,Power Dot France,4.883138,44.902036
50.0,122.0,FRPD1PSCICHV,Power Dot France,Power Dot France,4.882617,44.906212
50.0,366.0,FRPD1PTGLVLC,Power Dot France,Power Dot France,4.928383,44.951098
150.0,1200.0,FRTSLP1772,Tesla,Tesla,4.878087,44.91912
250.0,4000.0,FRTSLP29498,Tesla,Tesla,4.864827,44.864843
250.0,3000.0,FRTSLP30255,Tesla,Tesla,5.051818,45.033274
250.0,750.0,FRTSLP427106,Tesla,Tesla,5.243958,46.217424
250.0,15000.0,FRTSLP5367,Tesla,Tesla,4.795673,44.676125
