p_max,p_cum,id_station,operateur,amenageur,longitude,latitude
22.0,44.0,FRALLEGO999009,EV Cars,EV Cars,1.471787,49.0899374
22.0,44.0,FRESEPS42095AC,E-Totem,SEMOB,4.286092,45.384258
22.0,44.0,FRALLEGO900702,EV Cars,EV Cars,0.3722512,49.7542168
150.0,644.0,FRATLPZ340FRPORTO2000001,Atlante France,Atlante,0.708607,47.320285
22.0,132.0,FRETIP34332A,E-Totem,E-TOTEM INFRADIV 2,3.414995,43.289995
22.0,44.0,FRALLEGO900562,EV Cars,EV Cars,6.4793061,43.5102598
25.0,47.0,FRSE1PSE77MERA,STATIONS-E,STATIONS-E,2.627885,48.54112
500.0,1000.0,FRIENE042602,NW IECharge,NW IECharge,2.796337,47.968743
22.0,44.0,FRBMPP230791P,Bump,Bump,-1.723122,48.173044
150.0,300.0,FRGYMP12403039,GreenYellow eMobility,GreenYellow eMobility,2.5131452,48.988992
150.0,300.0,FRALLEGO900099,EV Cars,EV Cars,2.6030043,46.3459197
22.0,44.0,FRALLEGO900541,EV Cars,EV Cars,1.3938178,43.608492
22.08,88.32,FRLMSP90116476,ENGIE Vianeo,ENGIE Vianeo,5.793335,43.830612
300.0,600.0,FRALLEGO900067,EV Cars,EV Cars,1.1752576,49.014792
22.08,88.32,FRLMSP89786298,ENGIE Vianeo,ENGIE Vianeo,-0.300285,49.163437
150.0,644.0,FRBMPP172793P,Bump,Bump,-0.265886,44.544484
320.0,960.0,FRIENP6FPQGPF55EF8,NW IECharge,NW IECharge,3.35329,45.8641
300.0,600.0,FRALLEGO900493,EV Cars,EV Cars,2.419765,48.9186696
24.0,46.0,FRSE1PSE88SAGA,STATIONS-E,STATIONS-E,6.937938,48.290685
22.0,44.0,FRALLEGO900676,EV Cars,EV Cars,6.4775833,48.197304
350.0,1400.0,FRIOYP5967AM4AL1R1,Ionity,Ionity,1.416918,46.313059
300.0,600.0,FRALLEGO900498,EV Cars,EV Cars,2.5278645,48.9499323
350.0,2100.0,FRIOYPU1EB0TJUREN,Ionity,Ionity,1.856042,48.274978
150.0,600.0,FRBMPP185046P,Bump,Bump,4.440578,46.779875
300.0,2184.58,FRLMSP89370711,ENGIE Vianeo,ENGIE Vianeo,6.657184,49.134222
300.0,600.0,FRALLEGO900175,EV Cars,EV Cars,-0.5404276,47.4886992
150.0,600.0,FRIZFPFAST588,IZIVIA,IZIVIA FAST,0.634087,48.761877
150.0,300.0,FRIZFPFAST203,IZIVIA,IZIVIA FAST,2.205565,48.683529
150.0,300.0,FRALLEGO900055,EV Cars,EV Cars,7.0910245,43.6043175
50.0,143.0,FRESEPS42223AA,E-Totem,SEMOB,4.339118,45.44058
24.0,46.0,FRSE1PSE63SABA,STATIONS-E,STATIONS-E,3.246672,45.710844
22.0,44.0,FRALLEGO999093,EV Cars,EV Cars,2.5811279,48.501416
150.0,300.0,FRALLEGO800184,Allego,Allego,4.8793025,44.9067501
150.0,622.0,FRELCPVITHK,Electra,Electra,5.251933,43.425474
350.0,1543.0,FRIOYP77KHV9WRQSRG,Ionity,Ionity,1.245628,43.337933
24.0,46.0,FRSE1PSE67PFHA,STATIONS-E,STATIONS-E,7.594634,48.843199
300.0,2488.0,FRVIAP122244,ENGIE Vianeo,ENGIE Vianeo,3.14163,45.78655
50.0,143.0,FRIOYP1YDQQSU69BXF,Ionity,Ionity,7.0365,43.592
300.0,600.0,FRALLEGO900114,EV Cars,EV Cars,-1.3496047,48.6541936
22.0,132.0,FRETIP72058A,E-Totem,E-TOTEM INFRADIV,0.267742,47.990137
22.0,44.0,FRALLEGO900658,EV Cars,EV Cars,3.2655629,48.1985745
300.0,1822.0,FRELCPEVRNO,Electra,Electra,2.423335,48.616729
150.0,600.0,FRIZFPFAST398,IZIVIA,IZIVIA FAST,1.073122,43.603587
18.0,36.0,FRS77E77227001,Bouygues E&S,Ecocharge77,3.349335,48.483391
24.0,46.0,FRSE1PSE33MJDA,STATIONS-E,STATIONS-E,-0.696577,44.887014
50.0,50.0,FRELCPGTGT,Electra,Electra,-1.429938,46.69925
300.0,1266.0,FRELCPSACNO,Electra,Electra,2.170067,48.732772
300.0,600.0,FRALLEGO900001,EV Cars,EV Cars,-0.3274832,49.2053413
22.0,44.0,FRS77E77363001,Bouygues E&S,Ecocharge77,2.6311901501966806,48.917186375294236
150.0,300.0,FRGYMP12403031,GreenYellow eMobility,GreenYellow eMobility,2.553983,49.089106
25.0,47.0,FRETIP57672E,E-Totem,E-TOTEM INFRADIV,6.174117,49.362893
150.0,524.3,FRETIP86062A,E-Totem,E-Totem,0.37299,46.663836
18.0,36.0,FRS77E77054001,Bouygues E&S,Ecocharge77,3.021417,48.343342
18.0,36.0,FRS77E77318001,Bouygues E&S,Ecocharge77,2.915816,48.789227
350.0,4343.0,FRIOYPBO2NM4JUD1T,Ionity,Ionity,6.149369,48.742754
75.0,150.0,FRVIAP2014208901,ENGIE Vianeo,ENGIE Vianeo,5.415668,43.245715
22.0,112.3,FRETIP23076A,E-Totem,E-Totem,2.487862,46.183381
25.0,72.0,FRESEPS42218BD,E-Totem,SEMOB,4.388649,45.432013
24.0,48.0,FRGLYPLYON123,IZIVIA,IZIVIA FMET 1,4.814177,45.788793
300.0,600.0,FRALLEGO900178,EV Cars,EV Cars,6.1416302,49.3531714
22.0,44.0,FRALLEGO999010,EV Cars,EV Cars,0.7144288,47.3789346
300.0,3084.58,FRLMSP89369696,ENGIE Vianeo,ENGIE Vianeo,5.497669,47.974269
50.0,50.0,FRALLPGO000148,Allego,Allego,4.93273,44.9218
150.0,300.0,FRIZFPFAST392,IZIVIA,IZIVIA FAST,-0.870227,47.696606
300.0,2422.0,FRELCPGLICC,Electra,Electra,2.378123,49.866792
22.0,44.0,FRALLEGO900909,EV Cars,EV Cars,3.267804,45.5481985
7.4,37.0,FRBMPP230819P,Bump,Bump,6.833395,45.571306
24.0,46.0,FRSE1PSE77MXCA,STATIONS-E,STATIONS-E,2.886927,48.952545
22.08,88.32,FRLMSP89488047,ENGIE Vianeo,ENGIE Vianeo,1.331869,47.612421
320.0,960.0,FRIENP5L2Q08YETBR1,NW IECharge,NW IECharge,-2.09677,47.43294
300.0,600.0,FRALLEGO800265,Allego,Allego,3.1747826,43.2641629
24.0,46.0,FRSE1PSE35NSP3,STATIONS-E,STATIONS-E,-1.721204,48.179057
22.08,44.16,FRLMSP89397442,ENGIE Vianeo,ENGIE Vianeo,6.441087,48.180797
22.0,44.0,FRS77E77127002,Bouygues E&S,Ecocharge77,2.695989,48.670251
22.0,44.0,FRSE1PSE60MAEB,STATIONS-E,STATIONS-E,2.816499,49.42723
25.0,50.0,FRVIAP2014207201,ENGIE Vianeo,ENGIE Vianeo,5.569888,43.295562
24.0,46.0,FRSE1PSE63DABA,STATIONS-E,STATIONS-E,3.744803,45.386861
24.0,46.0,FRS77E77393002,Bouygues E&S,Ecocharge77,2.963885,48.680966
300.0,600.0,FRALLEGO900064,EV Cars,EV Cars,-0.5324939,44.7942919
50.0,388.0,FRELCPLTOHI,Electra,Electra,1.57864,50.515961
50.0,93.0,FRALLEGO002109,Allego,Allego,4.3612627,43.8110946
22.0,44.0,FRALLEGO900788,EV Cars,EV Cars,5.8771229,43.1240678
2.3,4.6,FRESEPS42208AA,E-Totem,E-Totem,4.486532,45.544967
150.0,688.0,FRATLPFR00291,Atlante France,Atlante,0.780833,43.113056
300.0,600.0,FRGYMP23BZ9181B,GreenYellow eMobility,GreenYellow eMobility,7.129812,43.627895
150.0,300.0,FRALLEGO900940,EV Cars,EV Cars,3.9405091,43.6414355
150.0,600.0,FRIZFPFAST289,IZIVIA,IZIVIA FAST,-4.086692,48.016724
24.0,46.0,FRSE1PSE45SADA,STATIONS-E,STATIONS-E,1.956823,47.877094
400.0,2443.0,FRIOYP41IBABGJA431,Ionity,Ionity,1.525147,44.149397
50.0,50.0,FRSIGESIGE236,IZIVIA,SYNDICAT INTERCOMMUNAL POUR LE GAZ ET L'ELECTRICITE EN ILE-DE-FRANCE (SIGEIF) (SIGEIF),2.558016,48.848718
22.0,22.0,FRELCPLSRK,Electra,Electra,-0.469154,46.330655
