id_station,p_max,p_cum,operateur,amenageur,longitude,latitude
FRFASP50995,300.0,2400.0,Fastned France,Fastned France,0.200706,45.98526
FRN54PBEEX0WVU,11.0,110.0,Modulo,Modulo Energies,6.176674,48.68841
FRLIBP237002686,50.0,72.0,Eoliberty,Eoliberty,2.494771,46.02686
FRLIBP608003245,50.0,160.0,Eoliberty,Eoliberty,2.889783,49.23245
FRS77P77116001,22.8,45.6,Bouygues E&S,Ecocharge77,3.219879,48.758823
FROZEP26793059,22.0,22.0,OZECAR,OZECAR,9.3353623,41.6248336
FRS77P77100001,22.8,45.6,Bouygues E&S,Ecocharge77,2.79478,48.505161
FRS37P7613,17.0,17.0,Modulo,Modulo Energies,0.593695,47.404129
FRS28PA1CYMTGH,17.0,17.0,Modulo,Modulo Energies,0.818359,48.322194
FRS77P77003001,22.8,45.6,Bouygues E&S,Ecocharge77,2.531976,48.279121
FRS08POXITUU17,24.0,46.0,Modulo,Modulo Energies,4.117,49.468399
FRN54P7JDKUB55,22.0,44.0,Modulo,Modulo Energies,6.178284,48.661768
FRS28PL0DJU0ZX,17.0,17.0,Modulo,Modulo Energies,1.515252,48.450151
FRS08PFNDTHO84,24.0,46.0,Modulo,Modulo Energies,4.499447,49.354924
FRLIBP683209605,25.0,47.0,Eoliberty,Eoliberty,7.440225,48.09605
FRS77P77385001,22.8,45.6,Bouygues E&S,Ecocharge77,3.233131,48.848412
FRS37POQDSHURC,17.0,34.0,Modulo,Modulo Energies,0.538582,47.14435
FRLIBP026000874,22.0,44.0,Eoliberty,Eoliberty,3.214031,49.30874
FRN54PCW77KIQ5,22.0,88.0,Modulo,Modulo Energies,6.173771,48.686259
FROZEP24354365,22.0,44.0,OZECAR,OZECAR,9.2750605,41.601667
FRS37P7L0RZ66A7S5P,17.0,34.0,Modulo,Modulo Energies,0.57681,46.963507
FRS28PYIM5FDSZ,17.0,17.0,Modulo,Modulo Energies,1.364287,48.229263
FRS28POKFMJC6M,17.0,34.0,Modulo,Modulo Energies,1.340464,48.703578
FRS08P3VW8LYGR,24.0,46.0,Modulo,Modulo Energies,4.957174,49.601797
FRS37PUJ9OPKGG,17.0,34.0,Modulo,Modulo Energies,0.376969,46.975415
FRS37PCXGNXNTN,17.0,34.0,Modulo,Modulo Energies,1.046251,47.332938
FRS77P77456001,22.8,45.6,Bouygues E&S,Ecocharge77,3.289959,48.509865
FRS37PXXK6X1CJ,17.0,34.0,Modulo,Modulo Energies,0.666684,47.399974
FRS51PE3AD8LQD,17.0,34.0,Modulo,Modulo Energies,4.320071,49.301307
FRS41PJUBB6LWF,17.0,34.0,Modulo,Modulo Energies,1.075448,47.81808
FRS77P77175002,24.0,46.8,Bouygues E&S,Ecocharge77,2.6332372,48.6528679
FRS77P77067001,22.8,45.6,Bouygues E&S,Ecocharge77,2.601874,48.56225
FRS77P77284004,22.8,45.6,Bouygues E&S,Ecocharge77,2.882304,48.96729
FRS37P8PWIGCKT,17.0,34.0,Modulo,Modulo Energies,0.731121,47.063057
FRS37PCCXSESER,17.0,34.0,Modulo,Modulo Energies,0.511531,47.169922
FRS41PC6XXJMCF,17.0,34.0,Modulo,Modulo Energies,1.255731,47.390532
FRS77P77054001,22.8,45.6,Bouygues E&S,Ecocharge77,3.021417,48.343342
FROZEP230628041,22.0,22.0,OZECAR,OZECAR,5.4699916,43.5137802
FRS77P77527001,22.8,45.6,Bouygues E&S,Ecocharge77,3.003289,48.690327
FRS88PRAK3FPAV,24.0,46.0,Modulo,Modulo Energies,5.944969,48.202498
FRS41P4Z05WUPB,17.0,34.0,Modulo,Modulo Energies,1.210292,47.887587
FRS28P4Z4MJVOA,22.0,22.0,Modulo,Modulo Energies,1.742543,48.082374
FRLIBP312600140,22.0,44.0,Eoliberty,Eoliberty,0.955832,43.1014
FRS88PAQUDYSGN,25.0,47.0,Modulo,Modulo Energies,6.853841,47.885598
FRS37PGL8JPITL,17.0,34.0,Modulo,Modulo Energies,0.309134,47.285679
FRN54PRJOZ38FY,22.0,39.0,Modulo,Modulo Energies,6.19429,48.70356
FRS51PVY8F7MPS,50.0,72.0,Modulo,Modulo Energies,4.190014,48.780783
FRS37PNWKBVMGG,17.0,34.0,Modulo,Modulo Energies,0.577568,47.109764
FRS77P77447002,22.8,45.6,Bouygues E&S,Ecocharge77,2.54736597907563,48.5527792404026
FROZEP22V20353,22.0,44.0,OZECAR,OZECAR,9.2790095,41.6074025
FRS28POELJ0VJ0,17.0,17.0,Modulo,Modulo Energies,1.123919,48.098514
FRS77P77182001,22.8,45.6,Bouygues E&S,Ecocharge77,3.305767,48.782028
FRS37PNK0TJJQP,17.0,34.0,Modulo,Modulo Energies,0.46013,47.527067
FRS37PULTRLTNB,17.0,34.0,Modulo,Modulo Energies,0.6564,47.3376
FRS51POOPUEWOI,17.0,34.0,Modulo,Modulo Energies,3.679734,48.552142
FRS77P77435001,22.8,45.6,Bouygues E&S,Ecocharge77,2.541457,48.499256
FRS55PEHZUZNBH,17.0,34.0,Modulo,Modulo Energies,5.059802,48.978479
FRS37PMGD7837C,17.0,34.0,Modulo,Modulo Energies,0.626942,47.277408
