p_cum,p_max,id_station,operateur,amenageur,longitude,latitude
672.0,200.0,FRPD1PSYSTOU,Power Dot France,Power Dot France,5.889135,48.680886
2448.5,200.0,FRPD1PITMCPV,Power Dot France,Power Dot France,0.354791,43.112049
262.0,120.0,FRPD1PLABGOL,Power Dot France,Power Dot France,6.438804,48.19225
672.0,200.0,FRPD1PSATBLT,Power Dot France,Power Dot France,7.503438,47.592707
36.0,18.0,FRS77E77475001,Bouygues E&S,Ecocharge77,2.947197,48.958482
2666.0,188.0,FRPD1PLCLLFL,Power Dot France,Power Dot France,-0.054514,47.702006
622.0,150.0,FRPD1PSTXLGV,Power Dot France,Power Dot France,1.261301,43.603033
3000.0,250.0,FRTSLP29658,Tesla,Tesla,44.908948,44.908948
132.0,60.0,FRPD1PITMLTY,Power Dot France,Power Dot France,3.983511,45.99286
22.0,22.0,FRPD1PMAILLA,Power Dot France,Power Dot France,7.389328,47.771241
672.0,200.0,FRPD1PBRISGA,Power Dot France,Power Dot France,-0.892783,47.688772
44.0,22.0,FRS77E77316004,Bouygues E&S,Ecocharge77,2.790265244,48.3798541
520.0,130.0,FRTSLP1754,Tesla,Tesla,43.603928,43.603928
792.0,200.0,FRPD1PHF1OLS,Power Dot France,Power Dot France,4.820359,45.715079
36.0,18.0,FRS77E77361001,Bouygues E&S,Ecocharge77,3.040816,48.899723
36.0,18.0,FRS77E77453001,Bouygues E&S,Ecocharge77,2.750641,48.52702
672.0,200.0,FRPD1PSYUALE,Power Dot France,Power Dot France,4.090151,44.140955
5000.0,250.0,FRTSLP29903,Tesla,Tesla,43.206224,43.206224
344.0,100.0,FRPD1PBRCERN,Power Dot France,Power Dot France,-0.914934,48.293805
8000.0,250.0,FRTSLP30379,Tesla,Tesla,49.709465,49.709465
7000.0,250.0,FRTSLP28778,Tesla,Tesla,46.548393,46.548393
44.0,22.0,FRS77E77490001,Bouygues E&S,Ecocharge77,3.0927511,49.046368
672.0,200.0,FRPD1PBRISAI,Power Dot France,Power Dot France,1.041848,44.8641
672.0,200.0,FRPD1PCHAPER,Power Dot France,Power Dot France,2.893208,42.680767
36.0,18.0,FRS77E77051001,Bouygues E&S,Ecocharge77,3.237932,48.416935
132.0,60.0,FRPD1PSYUPYA,Power Dot France,Power Dot France,4.541109,47.270782
3244.0,187.5,FRPD1PFRYNMS,Power Dot France,Power Dot France,4.359641,43.809834
132.0,60.0,FRPD1PITMVRQ,Power Dot France,Power Dot France,2.65028,50.501776
36.0,18.0,FRS77E77140001,Bouygues E&S,Ecocharge77,2.998514,48.469975
122.0,50.0,FRPD1PPDMTLS,Power Dot France,Power Dot France,1.433182,43.626348
772.0,100.0,FRPD1PMATPON,Power Dot France,Power Dot France,6.064458,48.917984
3000.0,250.0,FRTSLP27649,Tesla,Tesla,48.129176,48.129176
170.0,120.0,FRPD1PITMBFD,Power Dot France,Power Dot France,7.589601,48.374672
172.0,100.0,FRPD1PINTAGE,Power Dot France,Power Dot France,0.61846,44.180301
4000.0,250.0,FRTSLP29508,Tesla,Tesla,45.877092,45.877092
7000.0,250.0,FRTSLP29935,Tesla,Tesla,45.655436,45.655436
44.0,22.0,FRS77E77203001,Bouygues E&S,Ecocharge77,2.9502057,48.9963908
36.0,18.0,FRS77E77008001,Bouygues E&S,Ecocharge77,3.021658,48.97871
672.0,200.0,FRPD1PINTJAR,Power Dot France,Power Dot France,5.872343,49.161277
632.0,200.0,FRPD1PSYUNGT,Power Dot France,Power Dot France,5.34957,48.033164
122.0,50.0,FRPD1PWELSAJ,Power Dot France,Power Dot France,-0.915365,45.679358
244.0,50.0,FRPD1PBDMSTD,Power Dot France,Power Dot France,2.629185,48.567065
434.0,120.0,FRPD1PITMSLT,Power Dot France,Power Dot France,7.46401,48.275043
478.0,120.0,FRPD1PITMIPA,Power Dot France,Power Dot France,2.767517,42.625609
5000.0,250.0,FRTSLP26192,Tesla,Tesla,48.446612,48.446612
36.0,18.0,FRS77E77219001,Bouygues E&S,Ecocharge77,2.957987,48.822292
272.0,100.0,FRPD1PACCSOL,Power Dot France,Power Dot France,4.823807,45.637624
3000.0,250.0,FRTSLP30399,Tesla,Tesla,46.194771,46.194771
194.0,50.0,FRPD1PSYURUS,Power Dot France,Power Dot France,7.251535,48.493348
222.0,100.0,FRPD1PMBRHAZ,Power Dot France,Power Dot France,2.552345,50.736216
492.0,150.0,FRPD1PINVTAV,Power Dot France,Power Dot France,1.615394,47.768324
36.0,18.0,FRS77E77118001,Bouygues E&S,Ecocharge77,2.687649,48.945904
4000.0,250.0,FRTSLP29532,Tesla,Tesla,48.836648,48.836648
272.0,100.0,FRPD1PSSKLGD,Power Dot France,Power Dot France,6.038835,43.144916
2000.0,250.0,FRTSLP424918,Tesla,Tesla,46.46063,46.46063
122.0,50.0,FRPD1PITMDLP,Power Dot France,Power Dot France,1.674432,46.301622
459.5,187.5,FRPD1PACTSEG,Power Dot France,Power Dot France,2.677453,50.461016
1319.0,187.5,FRPD1PCPNWOP,Power Dot France,Power Dot France,6.17643,49.149649
7000.0,250.0,FRTSLP30029,Tesla,Tesla,45.722035,45.722035
632.0,200.0,FRPD1PHLFMTG,Power Dot France,Power Dot France,2.742603,48.003995
222.0,100.0,FRPD1PCRFRQV,Power Dot France,Power Dot France,5.599843,43.337981
972.0,100.0,FRPD1PCORSDZ,Power Dot France,Power Dot France,4.962704,48.64905
7000.0,250.0,FRTSLP20263,Tesla,Tesla,48.691108,48.691108
748.0,178.0,FRPD1PACCCHO,Power Dot France,Power Dot France,-0.842837,47.071476
272.0,200.0,FRPD1PMBRMAU,Power Dot France,Power Dot France,-0.738826,46.925654
1214.0,200.0,FRPD1PGDMISS,Power Dot France,Power Dot France,3.259342,45.520545
36.0,18.0,FRS77E77255001,Bouygues E&S,Ecocharge77,2.688477,48.511044
60.0,20.0,FRFASE33004,Fastned France,Fastned France,4.156034,45.679959
432.0,120.0,FRPD1PBBFLUN,Power Dot France,Power Dot France,4.117123,43.678013
7000.0,250.0,FRTSLP30249,Tesla,Tesla,46.796402,46.796402
46.0,24.0,FRS77E77192002,Bouygues E&S,Ecocharge77,2.87067,48.70882
1388.0,188.0,FRPD1PLCLLBN,Power Dot France,Power Dot France,-0.240239,44.928781
3000.0,250.0,FRTSLP11605,Tesla,Tesla,45.524705,45.524705
572.0,100.0,FRPD1PSYUACH,Power Dot France,Power Dot France,-1.662875,46.608377
36.0,18.0,FRS77E77179001,Bouygues E&S,Ecocharge77,2.8,48.4575
3672.0,150.0,FRTSLP1725,Tesla,Tesla,49.16423,49.16423
672.0,200.0,FRPD1PLBCLAO,Power Dot France,Power Dot France,3.656483,49.570199
36.0,18.0,FRS77E77102001,Bouygues E&S,Ecocharge77,2.62648,48.233624
572.0,100.0,FRPD1PIBSCLT,Power Dot France,Power Dot France,0.699041,47.335532
672.0,200.0,FRPD1PBCMNVL,Power Dot France,Power Dot France,-2.294602,47.517551
462.0,110.0,FRPD1PCARLPO,Power Dot France,Power Dot France,4.876425,43.978889
632.0,200.0,FRPD1PMATTHV,Power Dot France,Power Dot France,6.423706,48.246644
36.0,18.0,FRS77E77233001,Bouygues E&S,Ecocharge77,2.786925,48.999126
672.0,200.0,FRPD1PIBUCCL,Power Dot France,Power Dot France,2.91936,47.38302
832.0,200.0,FRPD1PHF1SRG,Power Dot France,Power Dot France,6.312445,46.22322
5000.0,250.0,FRTSLP1720,Tesla,Tesla,44.871519,44.871519
654.17025,200.0,FRPD1PMRCCNA,Power Dot France,Power Dot France,4.810014,45.316765
454.0,120.0,FRPD1PIBSCRG,Power Dot France,Power Dot France,2.069055,49.031546
122.0,50.0,FRPD1PGSTSTV,Power Dot France,Power Dot France,2.679619,48.869584
2000.0,250.0,FRTSLP30036,Tesla,Tesla,43.263079,43.263079
22.0,22.0,FRPD1PLABERA,Power Dot France,Power Dot France,0.45486,44.836667
1200.0,150.0,FRTSLP1728,Tesla,Tesla,47.787588,47.787588
4000.0,250.0,FRTSLP29713,Tesla,Tesla,43.818865,43.818865
772.0,100.0,FRPD1PSYUAST,Power Dot France,Power Dot France,5.180955,47.347708
1500.0,150.0,FRTSLP3018,Tesla,Tesla,50.336526,50.336526
1097.0,187.5,FRPD1PCORMBL,Power Dot France,Power Dot France,6.809088,47.528783
832.0,120.0,FRPD1PLCLLDN,Power Dot France,Power Dot France,0.089811,47.009363
344.0,100.0,FRPD1PCORDNK,Power Dot France,Power Dot France,2.379037,51.015197
36.0,18.0,FRS77E77040002,Bouygues E&S,Ecocharge77,2.561816,48.503139
22.0,22.0,FRPD1PENCBRB,Power Dot France,Power Dot France,2.573508,50.495685
6000.0,250.0,FRTSLP29933,Tesla,Tesla,46.143806,46.143806
36.0,18.0,FRS77E77308001,Bouygues E&S,Ecocharge77,2.743907,49.025669
36.0,18.0,FRS77E77188001,Bouygues E&S,Ecocharge77,2.756482,48.486507
432.0,120.0,FRPD1PIBIDUN,Power Dot France,Power Dot France,2.310785,51.007101
36.0,18.0,FRS77E77445001,Bouygues E&S,Ecocharge77,2.582113,48.596577
547.0,187.5,FRPD1PMATSMX,Power Dot France,Power Dot France,6.213592,48.701169
36.0,18.0,FRS77E77432001,Bouygues E&S,Ecocharge77,3.232304,48.792183
394.0,100.0,FRPD1PITMLPB,Power Dot France,Power Dot France,5.684441,45.5298
122.0,50.0,FRPD1PBRCLLB,Power Dot France,Power Dot France,6.363123,47.809822
472.0,100.0,FRPD1PITMTRE,Power Dot France,Power Dot France,-2.852549,48.523563
672.0,200.0,FRPD1PCHAHIR,Power Dot France,Power Dot France,4.091023,49.910018
7000.0,250.0,FRTSLP27742,Tesla,Tesla,47.0432,47.0432
632.0,200.0,FRPD1PMATSAM,Power Dot France,Power Dot France,3.429659,50.453807
672.0,200.0,FRPD1PSOGCOR,Power Dot France,Power Dot France,4.058185,49.216116
822.0,100.0,FRPD1PAUCVIL,Power Dot France,Power Dot France,2.52567,49.85708
192.0,120.0,FRPD1PLBCTRB,Power Dot France,Power Dot France,0.039376,43.238914
132.0,60.0,FRPD1PITMDIZ,Power Dot France,Power Dot France,6.721891,48.818517
1200.0,150.0,FRTSLP2622,Tesla,Tesla,46.137123,46.137123
462.0,100.0,FRPD1PITMAGE,Power Dot France,Power Dot France,0.618914,44.182611
36.0,18.0,FRS77E77229001,Bouygues E&S,Ecocharge77,2.874503,48.75351
222.0,100.0,FRPD1PMBCCHP,Power Dot France,Power Dot France,4.927858,45.651324
244.0,50.0,FRPD1PITMRON,Power Dot France,Power Dot France,1.081556,49.421463
36.0,18.0,FRS77E77131002,Bouygues E&S,Ecocharge77,3.0823624,48.815077
394.0,100.0,FRPD1PIBSSMA,Power Dot France,Power Dot France,-1.989949,48.625624
632.0,200.0,FRPD1PMATCMO,Power Dot France,Power Dot France,5.589866,48.759298
1500.0,150.0,FRTSLP5671,Tesla,Tesla,43.423964,43.423964
572.0,100.0,FRPD1PIBSISR,Power Dot France,Power Dot France,3.270861,45.551668
36.0,18.0,FRS77E77187001,Bouygues E&S,Ecocharge77,3.39162,48.41394
672.17025,200.0,FRPD1PRTPFLR,Power Dot France,Power Dot France,-0.577051,48.733926
372.0,100.0,FRPD1PSYULMD,Power Dot France,Power Dot France,6.380346,49.020206
672.17025,200.0,FRPD1PSYUMRV,Power Dot France,Power Dot France,2.653244,50.64073
