p_cum,p_max,id_station,operateur,amenageur,longitude,latitude
632.0,200.0,FRPD1PACCBEA,Power Dot France,Power Dot France,2.112799,49.410166
632.0,200.0,FRPD1PACCCHA,Power Dot France,Power Dot France,5.146131,48.087062
748.0,178.0,FRPD1PACCCHO,Power Dot France,Power Dot France,-0.842837,47.071476
752.0,200.0,FRPD1PACCCLM,Power Dot France,Power Dot France,5.889694,45.594984
632.0,200.0,FRPD1PACCECL,Power Dot France,Power Dot France,2.838855,48.367294
632.0,200.0,FRPD1PACCEVR,Power Dot France,Power Dot France,2.424555,48.615603
632.0,200.0,FRPD1PACCMAR,Power Dot France,Power Dot France,5.474741,43.300375
632.0,200.0,FRPD1PACCPPN,Power Dot France,Power Dot France,2.863807,42.685264
632.0,200.0,FRPD1PACCSDR,Power Dot France,Power Dot France,1.064608,49.400203
792.0,200.0,FRPD1PACCSTE,Power Dot France,Power Dot France,4.396468,45.459472
792.0,200.0,FRPD1PACCTLB,Power Dot France,Power Dot France,6.508923,46.382027
632.0,200.0,FRPD1PACCTRI,Power Dot France,Power Dot France,-2.210144,47.291959
672.0,200.0,FRPD1PACTAGL,Power Dot France,Power Dot France,0.183471,45.689892
822.0,200.0,FRPD1PACTANM,Power Dot France,Power Dot France,6.262222,46.196633
1297.0,187.5,FRPD1PACTAUB,Power Dot France,Power Dot France,4.407325,44.617911
632.0,200.0,FRPD1PACTBER,Power Dot France,Power Dot France,0.451459,44.834772
1219.0,200.0,FRPD1PACTCAR,Power Dot France,Power Dot France,-3.554087,48.277567
672.0,200.0,FRPD1PACTCHO,Power Dot France,Power Dot France,-0.845105,47.075085
792.0,200.0,FRPD1PACTLMN,Power Dot France,Power Dot France,4.771335,45.818628
872.0,160.0,FRPD1PACTMRM,Power Dot France,Power Dot France,1.042494,49.474877
459.5,187.5,FRPD1PACTSEG,Power Dot France,Power Dot France,2.677453,50.461016
632.0,200.0,FRPD1PACTSTA,Power Dot France,Power Dot France,2.035364,50.363375
547.0,187.5,FRPD1PACTVDD,Power Dot France,Power Dot France,0.937118,48.737151
632.17025,200.0,FRPD1PACTVRN,Power Dot France,Power Dot France,3.252988,49.640966
662.0,160.0,FRPD1PALDBOE,Power Dot France,Power Dot France,0.631925,44.184872
552.0,160.0,FRPD1PALDESN,Power Dot France,Power Dot France,2.512902,48.694318
574.0,180.0,FRPD1PARCSDZ,Power Dot France,Power Dot France,4.965022,48.623248
1009.5,187.5,FRPD1PATLSGM,Power Dot France,Power Dot France,-1.231847,43.71288
672.0,200.0,FRPD1PAUBPTL,Power Dot France,Power Dot France,6.339066,46.907665
632.0,200.0,FRPD1PBBBLVS,Power Dot France,Power Dot France,-1.355046,48.658007
672.0,200.0,FRPD1PBCMNVL,Power Dot France,Power Dot France,-2.294602,47.517551
588.0,188.0,FRPD1PBDMDR1,Power Dot France,Power Dot France,1.362238,48.74733
672.0,200.0,FRPD1PBDMGRO,Power Dot France,Power Dot France,2.359229,48.98494
672.0,200.0,FRPD1PBDMSPN,Power Dot France,Power Dot France,2.682708,48.280113
632.0,200.0,FRPD1PBLGANG,Power Dot France,Power Dot France,-0.539075,47.448777
1388.0,188.0,FRPD1PBOUBES,Power Dot France,Power Dot France,6.910811,47.640073
947.0,187.5,FRPD1PBOULIM,Power Dot France,Power Dot France,1.275304,45.805902
672.0,200.0,FRPD1PBOULJE,Power Dot France,Power Dot France,6.304074,48.359609
632.0,200.0,FRPD1PBRASAI,Power Dot France,Power Dot France,4.39422,48.944437
748.0,188.0,FRPD1PBRCFIM,Power Dot France,Power Dot France,49.253048,49.253048
662.0,160.0,FRPD1PBRCGHT,Power Dot France,Power Dot France,1.970805,43.760697
662.0,160.0,FRPD1PBRCLVR,Power Dot France,Power Dot France,1.802318,43.706921
672.0,200.0,FRPD1PBRIISS,Power Dot France,Power Dot France,2.006685,46.950522
632.0,200.0,FRPD1PBRIRIO,Power Dot France,Power Dot France,3.118431,45.87855
672.0,200.0,FRPD1PBRISAI,Power Dot France,Power Dot France,1.041848,44.8641
672.0,200.0,FRPD1PBRISGA,Power Dot France,Power Dot France,-0.892783,47.688772
747.0,187.5,FRPD1PBRTPGY,Power Dot France,Power Dot France,-1.110449,46.153241
632.0,200.0,FRPD1PBRTPPN,Power Dot France,Power Dot France,2.88474,42.659679
948.0,188.0,FRPD1PBSFRQV,Power Dot France,Power Dot France,5.599204,43.337416
632.0,200.0,FRPD1PBTHLCS,Power Dot France,Power Dot France,4.029371,48.323883
552.0,160.0,FRPD1PBUFPTL,Power Dot France,Power Dot France,6.330926,46.903756
654.0,200.0,FRPD1PBUTMED,Power Dot France,Power Dot France,3.475958,44.514602
672.0,200.0,FRPD1PBWNSEL,Power Dot France,Power Dot France,7.42364,48.255447
672.0,200.0,FRPD1PBWTGRD,Power Dot France,Power Dot France,-2.416608,47.325342
672.0,200.0,FRPD1PCAPMSL,Power Dot France,Power Dot France,1.671538,47.832807
712.0,160.0,FRPD1PCAPORL,Power Dot France,Power Dot France,1.896237,47.898684
952.17025,200.0,FRPD1PCAPSJB,Power Dot France,Power Dot France,1.98868,47.922826
662.0,160.0,FRPD1PCARLAC,Power Dot France,Power Dot France,-1.199501,45.000079
952.0,200.0,FRPD1PCARSAI,Power Dot France,Power Dot France,4.087145,48.26672
672.0,200.0,FRPD1PCCMLMM,Power Dot France,Power Dot France,3.632524,45.868104
632.0,200.0,FRPD1PCCTLVS,Power Dot France,Power Dot France,1.17298,49.210254
672.0,200.0,FRPD1PCCVVNT,Power Dot France,Power Dot France,2.777342,49.410031
987.0,187.5,FRPD1PCHABRI,Power Dot France,Power Dot France,5.944852,49.25475
672.0,200.0,FRPD1PCHACHE,Power Dot France,Power Dot France,5.019132,47.282559
472.0,200.0,FRPD1PCHAECH,Power Dot France,Power Dot France,5.694314,45.150182
672.0,200.0,FRPD1PCHAESS,Power Dot France,Power Dot France,6.246142,48.710534
672.0,200.0,FRPD1PCHAEVR,Power Dot France,Power Dot France,1.171403,49.011149
672.0,200.0,FRPD1PCHAHIR,Power Dot France,Power Dot France,4.091023,49.910018
672.0,200.0,FRPD1PCHANEU,Power Dot France,Power Dot France,5.707625,48.366528
672.0,200.0,FRPD1PCHAPER,Power Dot France,Power Dot France,2.893208,42.680767
672.0,200.0,FRPD1PCHAREI,Power Dot France,Power Dot France,4.048526,49.214513
437.5,187.5,FRPD1PCHASAI,Power Dot France,Power Dot France,5.996487,49.198015
792.0,200.0,FRPD1PCHASAU,Power Dot France,Power Dot France,-0.063598,47.277921
672.0,200.0,FRPD1PCHATRG,Power Dot France,Power Dot France,-2.211317,47.299731
2194.0,200.0,FRPD1PCHAVDB,Power Dot France,Power Dot France,5.948364,49.254202
1172.0,175.0,FRPD1PCORAVD,Power Dot France,Power Dot France,6.694049,49.111423
1097.0,187.5,FRPD1PCORBLF,Power Dot France,Power Dot France,6.861585,47.599504
2872.0,200.0,FRPD1PCORDIJ,Power Dot France,Power Dot France,5.002469,47.270311
459.5,187.5,FRPD1PCORDLS,Power Dot France,Power Dot France,7.496723,48.527606
1097.0,187.5,FRPD1PCORDRC,Power Dot France,Power Dot France,7.292158,47.740252
3094.0,200.0,FRPD1PCORFLE,Power Dot France,Power Dot France,3.121182,50.635848
