,node_id,nature_g,nature_c,id_station
0,2849,exterieur,,FRPD1PACCBEA
1,2852,exterieur,exterieur,FRPD1PACCCLM
2,2854,exterieur,exterieur,FRPD1PACCEVR
3,2855,exterieur,,FRPD1PACCMAR
4,2858,exterieur,,FRPD1PACCSTE
5,2860,exterieur,exterieur,FRPD1PACCTRI
6,2861,exterieur,,FRPD1PACTAGL
7,2862,sur aire de recharge,,FRPD1PACTANM
8,2867,exterieur,exterieur,FRPD1PACTLMN
9,2868,exterieur,,FRPD1PACTMRM
10,2876,exterieur,exterieur,FRPD1PATLSGM
11,2878,exterieur,,FRPD1PBBBLVS
12,2879,exterieur,exterieur,FRPD1PBCMNVL
13,2880,exterieur,,FRPD1PBDMDR1
14,2882,exterieur,exterieur,FRPD1PBDMSPN
15,2883,exterieur,,FRPD1PBLGANG
16,2884,exterieur,exterieur,FRPD1PBOUBES
17,2885,exterieur,,FRPD1PBOULIM
18,2896,exterieur,exterieur,FRPD1PBRTPPN
19,2900,exterieur,,FRPD1PBUTMED
20,2901,exterieur,,FRPD1PBWNSEL
21,2903,exterieur,exterieur,FRPD1PCAPMSL
22,2908,exterieur,exterieur,FRPD1PCCMLMM
23,2909,exterieur,,FRPD1PCCTLVS
24,2913,exterieur,,FRPD1PCHAECH
25,2915,exterieur,,FRPD1PCHAEVR
26,2919,exterieur,,FRPD1PCHAREI
27,2920,exterieur,exterieur,FRPD1PCHASAI
28,2922,exterieur,exterieur,FRPD1PCHATRG
29,2925,exterieur,exterieur,FRPD1PCORBLF
30,2928,exterieur,exterieur,FRPD1PCORDRC
31,2936,exterieur,,FRPD1PCORMOU
32,2937,exterieur,,FRPD1PCORREI
33,2942,exterieur,exterieur,FRPD1PCORTOL
34,2943,exterieur,,FRPD1PCORVSL
35,2944,exterieur,,FRPD1PCPNWOP
36,2945,exterieur,,FRPD1PCRFBRD
37,2951,exterieur,exterieur,FRPD1PCTIBGL
38,2953,exterieur,,FRPD1PCURLGU
39,2954,exterieur,,FRPD1PDEGPSG
40,2956,exterieur,exterieur,FRPD1PDRTAUR
41,2958,exterieur,,FRPD1PDUVCEC
42,2959,exterieur,,FRPD1PELCMTB
43,2962,exterieur,exterieur,FRPD1PETICHA
44,2963,exterieur,,FRPD1PETXFYT
45,2966,exterieur,exterieur,FRPD1PETXRVS
46,2967,exterieur,,FRPD1PFJNPSG
47,2970,exterieur,exterieur,FRPD1PFRYNMS
48,2971,exterieur,exterieur,FRPD1PFSTCSM
49,2973,exterieur,,FRPD1PGDMISS
50,2979,exterieur,,FRPD1PGSTVVD
51,2980,exterieur,exterieur,FRPD1PHF1CMF
52,2981,exterieur,exterieur,FRPD1PHF1OLS
53,2983,exterieur,,FRPD1PHF1SRG
54,2984,exterieur,,FRPD1PHLFHRC
55,2986,sur aire de recharge,,FRPD1PHOLPAR
56,2988,exterieur,,FRPD1PHOTCLS
57,2990,exterieur,,FRPD1PIBIBIR
58,2992,exterieur,,FRPD1PIBSBZR
59,2993,exterieur,,FRPD1PIBSCLS
60,2995,exterieur,,FRPD1PIBSGSA
61,2996,exterieur,,FRPD1PIBSINV
62,2997,exterieur,exterieur,FRPD1PIBSMLC
63,2998,exterieur,exterieur,FRPD1PIBSPRP
64,2999,exterieur,exterieur,FRPD1PIBSPTR
65,3001,exterieur,exterieur,FRPD1PIBSVDA
66,3002,exterieur,exterieur,FRPD1PIBSVSS
67,3003,exterieur,,FRPD1PIBUCCL
68,3016,exterieur,,FRPD1PITMCPV
69,3018,exterieur,,FRPD1PITMDST
70,3020,exterieur,exterieur,FRPD1PITMGRT
71,3027,exterieur,,FRPD1PITMMSC
72,3047,exterieur,exterieur,FRPD1PITMUNI
73,3051,exterieur,,FRPD1PJARAVR
74,3052,exterieur,,FRPD1PJARCHA
75,3053,exterieur,,FRPD1PJARGRT
76,3057,exterieur,exterieur,FRPD1PKRDTNC
77,3059,exterieur,exterieur,FRPD1PLAVGRA
78,3061,exterieur,,FRPD1PLBCMRL
79,3065,sur aire de recharge,,FRPD1PLBRPAM
80,3071,exterieur,exterieur,FRPD1PLECQUE
81,3074,exterieur,exterieur,FRPD1PMAILLB
82,3083,exterieur,exterieur,FRPD1PMATCHG
83,3095,exterieur,,FRPD1PMATLUR
84,3097,exterieur,exterieur,FRPD1PMATMLZ
85,3111,exterieur,,FRPD1PMBCPMR
86,3112,exterieur,,FRPD1PMBCSJU
87,3118,exterieur,,FRPD1PMBRMTB
88,3119,exterieur,,FRPD1PMBRPLM
89,3125,exterieur,exterieur,FRPD1PMBRSVN
90,3127,exterieur,,FRPD1PMDMPMR
91,3131,exterieur,,FRPD1PMRBCHP
92,3134,exterieur,exterieur,FRPD1PMRCCHA
93,3135,exterieur,exterieur,FRPD1PMRCCNA
94,3136,exterieur,exterieur,FRPD1PMRCVFT
95,3137,exterieur,exterieur,FRPD1PMRFORG
96,3142,exterieur,exterieur,FRPD1PNVLPPN
97,3143,exterieur,,FRPD1PORCEGR
98,3144,exterieur,exterieur,FRPD1PPATHBE
99,3145,exterieur,exterieur,FRPD1PPATIDA
100,3146,exterieur,exterieur,FRPD1PPICRMB
101,3148,exterieur,,FRPD1PPVCDTS
102,3149,exterieur,,FRPD1PRNTDST
103,3150,exterieur,,FRPD1PRODPRX
104,3159,exterieur,,FRPD1PSCISCM
105,3160,exterieur,,FRPD1PSGNLFP
106,3161,exterieur,,FRPD1PSOGCOR
