id_pdc_itinerance,id_station_itinerance
FRTSLE0CBBPD,FRTSLP30248
FRTSLE0005TN,FRTSLP29982
FRTSLE1U4LK8,FRTSLP437128
FRTSLE1U4LIF,FRTSLP437128
FRTSLE2S89Q0,FRTSLP29982
FRTSLE0DDQPV,FRTSLP30032
FRTSLE0003KV,FRTSLP6308
FRTSLE1U4LGA,FRTSLP437128
FRTSLE0003L7,FRTSLP6308
FRTSLE0005UH,FRTSLP29982
FRTSLE1IZ81S,FRTSLP1764
FRTSLE0003KZ,FRTSLP6308
FRTSLE0005MP,FRTSLP30181
FRTSLE0005N3,FRTSLP30181
FRTSLE0005U1,FRTSLP29982
FRTSLE2S89PY,FRTSLP29982
FRTSLE0003KX,FRTSLP6308
FRTSLE0005MV,FRTSLP30181
FRTSLE0DDQQ3,FRTSLP30032
FRTSLE0003L5,FRTSLP6308
FRTSLE0C8452,FRTSLP29983
FRTSLE0003L1,FRTSLP6308
FRTSLE0K2J2E,FRTSLP30036
FRTSLE5CZT7R,FRTSLP11605
FRTSLE0005UF,FRTSLP29982
FRTSLE2S89Q1,FRTSLP29982
FRTSLE2DARBS,FRTSLP1764
FRTSLE0DDQQJ,FRTSLP30032
FRTSLE0006IY,FRTSLP11605
FRTSLE2S89PX,FRTSLP29982
FRTSLE0006J6,FRTSLP11605
FRTSLE0K2A4X,FRTSLP30036
FRTSLE0003L9,FRTSLP6308
FRTSLE0006J8,FRTSLP11605
FRTSLE0003GZ,FRTSLP5673
FRTSLE5CZQSC,FRTSLP11605
FRTSLE5D00ZV,FRTSLP11605
FRTSLE5CZT7O,FRTSLP11605
FRTSLE2S89Q3,FRTSLP29982
FRTSLE0003L3,FRTSLP6308
FRTSLE0DDQQD,FRTSLP30032
FRTSLE5CZRYN,FRTSLP11605
FRTSLE5CZT80,FRTSLP11605
FRTSLE5CZT7I,FRTSLP11605
FRTSLE5CZQS3,FRTSLP11605
FRTSLE2S89Q2,FRTSLP29982
FRTSLE0K2A4V,FRTSLP30036
FRTSLE0006JC,FRTSLP11605
FRTSLE0006JK,FRTSLP11605
FRTSLE0K2A4Y,FRTSLP30036
FRTSLE0006JG,FRTSLP11605
FRTSLE1IZ81V,FRTSLP1764
FRTSLE0005TV,FRTSLP29982
FRTSLE1U4LCS,FRTSLP437128
FRTSLE0DDQQB,FRTSLP30032
FRTSLE5CZT7G,FRTSLP11605
FRTSLE5CZT77,FRTSLP11605
FRTSLE0005UD,FRTSLP29982
FRTSLE0005U5,FRTSLP29982
FRTSLE0K2J2C,FRTSLP30036
FRTSLE2S89PV,FRTSLP29982
FRTSLE5CZT85,FRTSLP11605
FRTSLE0K2J2D,FRTSLP30036
FRTSLE0K2A4U,FRTSLP30036
FRTSLE0DDQQF,FRTSLP30032
FRTSLE0006JA,FRTSLP11605
FRTSLE0006J4,FRTSLP11605
FRTSLE0K2A4W,FRTSLP30036
FRTSLE0006JE,FRTSLP11605
FRTSLE5D00ZU,FRTSLP11605
FRTSLE5D00ZS,FRTSLP11605
FRTSLE0DDQQN,FRTSLP30032
FRTSLE0006J2,FRTSLP11605
FRTSLE0006JI,FRTSLP11605
FRTSLE1U4LLU,FRTSLP437128
FRTSLE0006J0,FRTSLP11605
FRTSLE5CZQSA,FRTSLP11605
FRTSLE5D00ZT,FRTSLP11605
FRTSLE2DARBT,FRTSLP1764
FRTSLE5CZQSF,FRTSLP11605
FRTSLE0CBBPF,FRTSLP30248
FRTSLE2DARBL,FRTSLP1764
FRTSLE0CBBW3,FRTSLP30248
FRTSLE0DDQQH,FRTSLP30032
FRTSLE0CBBR5,FRTSLP30248
FRTSLE2DARBR,FRTSLP1764
FRTSLE00054F,FRTSLP27649
FRTSLE00054P,FRTSLP27649
FRTSLE00054H,FRTSLP27649
FRTSLE00054J,FRTSLP27649
FRTSLE000543,FRTSLP27649
FRTSLE000545,FRTSLP27649
FRTSLE000547,FRTSLP27649
FRTSLE000549,FRTSLP27649
FRTSLE00054B,FRTSLP27649
FRTSLE00054D,FRTSLP27649
FRTSLE00054L,FRTSLP27649
FRTSLE00054N,FRTSLP27649
FRTSLE2DARBX,FRTSLP1764
FRTSLE2S8A23,FRTSLP29982
FRTSLE1IZ81Y,FRTSLP1764
FRTSLE0005U9,FRTSLP29982
FRTSLE1IZ81R,FRTSLP1764
FRTSLE0CBBRI,FRTSLP30248
FRTSLE0CBBW1,FRTSLP30248
FRTSLE0DDQQ9,FRTSLP30032
FRTSLE0CBBVZ,FRTSLP30248
FRTSLE0CBBP9,FRTSLP30248
FRTSLE1IZ81U,FRTSLP1764
FRTSLE0CBBRK,FRTSLP30248
FRTSLE0CBBW5,FRTSLP30248
FRTSLE0CBBPB,FRTSLP30248
FRTSLE0CBBRG,FRTSLP30248
FRTSLE0KKDWZ,FRTSLP16733
FRTSLE0004TB,FRTSLP16733
FRTSLE0KKDWY,FRTSLP16733
FRTSLE0KKDYU,FRTSLP16733
FRTSLE0KKDZP,FRTSLP16733
FRTSLE0004TH,FRTSLP16733
FRTSLE0004TL,FRTSLP16733
FRTSLE0004T9,FRTSLP16733
FRTSLE0004T1,FRTSLP16733
FRTSLE0KKDWW,FRTSLP16733
FRTSLE0005TT,FRTSLP29982
FRTSLE0004T3,FRTSLP16733
FRTSLE10HV4E,FRTSLP33190
FRTSLE10HV4S,FRTSLP33190
FRTSLE10HV4C,FRTSLP33190
FRTSLE0DDQQ7,FRTSLP30032
FRTSLE10HV4V,FRTSLP33190
FRTSLE0KKDYX,FRTSLP16733
FRTSLE10HV4Q,FRTSLP33190
FRTSLE10HV3V,FRTSLP33190
FRTSLE10HV4N,FRTSLP33190
FRTSLE10HV4R,FRTSLP33190
FRTSLE10HV4T,FRTSLP33190
FRTSLE0004T5,FRTSLP16733
FRTSLE0DDQQ1,FRTSLP30032
FRTSLE0KKDYV,FRTSLP16733
FRTSLE0005TZ,FRTSLP29982
FRTSLE0DDQPZ,FRTSLP30032
FRTSLE1U4LLR,FRTSLP437128
FRTSLE0004TD,FRTSLP16733
FRTSLE0005U3,FRTSLP29982
FRTSLE0005UB,FRTSLP29982
FRTSLE2S89PW,FRTSLP29982
FRTSLE2S8A28,FRTSLP29982
FRTSLE2DARBQ,FRTSLP1764
FRTSLE2DARBN,FRTSLP1764
FRTSLE0KKDYY,FRTSLP16733
FRTSLE0KKDY6,FRTSLP16733
FRTSLE10HV4W,FRTSLP33190
FRTSLE10HV4Y,FRTSLP33190
FRTSLE0KKDX0,FRTSLP16733
FRTSLE0004TF,FRTSLP16733
FRTSLE0004TN,FRTSLP16733
FRTSLE1IZ81T,FRTSLP1764
FRTSLE0004TP,FRTSLP16733
FRTSLE0004SZ,FRTSLP16733
FRTSLE2DARBV,FRTSLP1764
FRTSLE1U4LKA,FRTSLP437128
FRTSLE0004TJ,FRTSLP16733
FRTSLE10HV4U,FRTSLP33190
FRTSLE0004T7,FRTSLP16733
FRTSLE0005J1,FRTSLP28781
FRTSLE0005J3,FRTSLP28781
FRTSLE0005IT,FRTSLP28781
FRTSLE0005JF,FRTSLP28781
FRTSLE0005JH,FRTSLP28781
FRTSLE0005J7,FRTSLP28781
FRTSLE0004TT,FRTSLP16733
FRTSLE0005TX,FRTSLP29982
FRTSLE0003PN,FRTSLP1766
FRTSLE000595,FRTSLP29384
FRTSLE2DARBW,FRTSLP1764
FRTSLE00059F,FRTSLP29384
FRTSLE0004TR,FRTSLP16733
FRTSLE00058F,FRTSLP29384
FRTSLE0DDQQP,FRTSLP30032
FRTSLE00058T,FRTSLP29384
FRTSLE00058X,FRTSLP29384
FRTSLE0KKDYW,FRTSLP16733
FRTSLE0KKDWX,FRTSLP16733
FRTSLE000591,FRTSLP29384
FRTSLE0003H3,FRTSLP5673
FRTSLE0005TR,FRTSLP29982
FRTSLE00059D,FRTSLP29384
FRTSLE00058R,FRTSLP29384
FRTSLE00058H,FRTSLP29384
FRTSLE00058Z,FRTSLP29384
FRTSLE000593,FRTSLP29384
FRTSLE0DDQQ5,FRTSLP30032
FRTSLE000597,FRTSLP29384
FRTSLE00059B,FRTSLP29384
FRTSLE00058N,FRTSLP29384
FRTSLE00058P,FRTSLP29384
FRTSLE00059H,FRTSLP29384
FRTSLE0005IZ,FRTSLP28781
FRTSLE00058J,FRTSLP29384
FRTSLE00058V,FRTSLP29384
FRTSLE00058L,FRTSLP29384
FRTSLE000599,FRTSLP29384
FRTSLE1IZ81X,FRTSLP1764
FRTSLE0DZ67K,FRTSLP29581
FRTSLE0DZ67G,FRTSLP29581
FRTSLE2DARBO,FRTSLP1764
FRTSLE2DARBY,FRTSLP1764
FRTSLE2DARBP,FRTSLP1764
FRTSLE0DJDGN,FRTSLP1720
FRTSLE1IZ81W,FRTSLP1764
FRTSLE3AYPTU,FRTSLP1720
FRTSLE10EXI4,FRTSLP3078
FRTSLE0005TP,FRTSLP29982
FRTSLE0DDQQL,FRTSLP30032
FRTSLE0DJDFK,FRTSLP1720
FRTSLE1U4LEG,FRTSLP437128
FRTSLE0DZRE4,FRTSLP29581
FRTSLE0DDQPX,FRTSLP30032
FRTSLE2S89PT,FRTSLP29982
FRTSLE0003PJ,FRTSLP1766
FRTSLE10EXI9,FRTSLP3078
FRTSLE10EXI7,FRTSLP3078
FRTSLE0005U7,FRTSLP29982
FRTSLE0DJDLG,FRTSLP1720
FRTSLE3AYPTN,FRTSLP1720
FRTSLE0DZ67I,FRTSLP29581
FRTSLE00050J,FRTSLP20265
FRTSLE0004GN,FRTSLP1726
FRTSLE00050X,FRTSLP20265
FRTSLE0CRRVM,FRTSLP29767
FRTSLE0CRRW7,FRTSLP29767
FRTSLE0CRRU4,FRTSLP29767
FRTSLE0CRRUB,FRTSLP29767
FRTSLE0CRRUK,FRTSLP29767
FRTSLE0CRRUQ,FRTSLP29767
FRTSLE0CRYVL,FRTSLP29767
