,id_station_itinerance,month,energy
0,FRTSLP10696,3,331.219
1,FRTSLP10696,4,33368.243
2,FRTSLP10696,5,31845.142
3,FRTSLP10696,6,35511.961
4,FRTSLP10696,7,47929.244
5,FRTSLP10696,8,54773.025
6,FRTSLP10696,9,24966.0935
7,FRTSLP10702,3,901.634
8,FRTSLP10702,4,91774.181
9,FRTSLP10702,5,91622.147
10,FRTSLP10702,6,93802.304
11,FRTSLP10702,7,158160.354
12,FRTSLP10702,8,220672.681
13,FRTSLP10702,9,69438.1608
14,FRTSLP11192,3,5148.901
15,FRTSLP11192,4,246615.83
16,FRTSLP11192,5,252754.1457
17,FRTSLP11192,6,262814.3399
18,FRTSLP11192,7,255314.3003
19,FRTSLP11192,8,221098.3381
20,FRTSLP11192,9,238309.789
21,FRTSLP11193,3,88.674
22,FRTSLP11193,4,6789.362
23,FRTSLP11193,5,3947.691
24,FRTSLP11193,6,4780.664
25,FRTSLP11193,7,6789.912
26,FRTSLP11193,8,13406.828
27,FRTSLP11193,9,5332.6773
28,FRTSLP11417,3,516.184
29,FRTSLP11417,4,61522.489
30,FRTSLP11417,5,52466.241
31,FRTSLP11417,6,57784.013
32,FRTSLP11417,7,87131.638
33,FRTSLP11417,8,116939.061
34,FRTSLP11417,9,43846.0077
35,FRTSLP11605,3,1128.37
36,FRTSLP11605,4,69575.643
37,FRTSLP11605,5,43782.574
38,FRTSLP11605,6,62232.457
39,FRTSLP11605,7,83487.278
40,FRTSLP11605,8,95643.097
41,FRTSLP11605,9,53017.3123
42,FRTSLP11606,3,935.712
43,FRTSLP11606,4,70758.375
44,FRTSLP11606,5,42281.428
45,FRTSLP11606,6,52311.988
46,FRTSLP11606,7,84895.866
47,FRTSLP11606,8,77469.204
48,FRTSLP11606,9,44200.7985
49,FRTSLP12180,3,4897.298
50,FRTSLP12180,4,259881.635
51,FRTSLP12180,5,347284.3732
52,FRTSLP12180,6,400716.8391
53,FRTSLP12180,7,481521.8014
54,FRTSLP12180,8,466601.1636
55,FRTSLP12180,9,313744.9868
56,FRTSLP13281,3,4011.62
57,FRTSLP13281,4,248647.566
58,FRTSLP13281,5,225267.9983
59,FRTSLP13281,6,216824.5344
60,FRTSLP13281,7,295348.5843
61,FRTSLP13281,8,299266.6453
62,FRTSLP13281,9,190134.2306
63,FRTSLP14836,3,5578.005
64,FRTSLP14836,4,324755.235
65,FRTSLP14836,5,299874.6512
66,FRTSLP14836,6,293427.1335
67,FRTSLP14836,7,390950.5771
68,FRTSLP14836,8,375175.6274
69,FRTSLP14836,9,251735.6765
70,FRTSLP16281,3,1993.212
71,FRTSLP16281,4,157570.018
72,FRTSLP16281,5,135677.3
73,FRTSLP16281,6,136914.142
74,FRTSLP16281,7,241191.538
75,FRTSLP16281,8,297082.516
76,FRTSLP16281,9,116530.4098
77,FRTSLP16321,3,1715.819
