,etat_prise_type_2,occupation_pdc,etat_prise_type_combo_ccs,etat_pdc,id,updated_at,etat_prise_type_chademo,point_de_charge_id,created_at,etat_prise_type_ef,horodatage
0,null,libre,fonctionnel,en_service,cac49650-b16d-4cfb-8b6b-faedce6f7c3d,2025-05-26 07:59:56.535758+02:00,null,b1ef81db-f16c-4c40-b31a-f35b1b36c786,2025-05-26 07:59:56.535745+02:00,null,2025-05-26T07:59:56.401386+02:00
1,fonctionnel,occupe,null,en_service,50558696-026d-4f43-a5d3-04523c72e6fd,2025-05-26 07:59:39.588207+02:00,null,c0db3115-4ca3-4ffa-beb5-cfef2eac705a,2025-05-26 07:59:39.588191+02:00,null,2025-05-26T07:59:39.452386+02:00
2,null,occupe,fonctionnel,en_service,4a8f72af-7964-4ef1-9d04-6614f2344966,2025-05-26 07:59:38.666927+02:00,null,4dc3da31-3293-4953-8976-f321c52095ec,2025-05-26 07:59:38.666915+02:00,null,2025-05-26T07:59:38.508202+02:00
3,null,libre,fonctionnel,en_service,94cc6ed2-69da-40f9-85a4-43cd8b338953,2025-05-26 07:59:33.975341+02:00,null,a1be3bd8-dcad-427c-a6c7-8fbcce6e2626,2025-05-26 07:59:33.975329+02:00,null,2025-05-26T07:59:33.741058+02:00
4,null,libre,fonctionnel,en_service,9c3344da-1dba-4c2f-9092-d48516c9dc7f,2025-05-26 07:59:33.867193+02:00,null,4fa604bc-2287-4794-b0df-9a27f173613a,2025-05-26 07:59:33.867176+02:00,null,2025-05-26T07:59:33.447193+02:00
5,null,libre,fonctionnel,en_service,3a57c047-6f6c-4731-a3df-498f4fa8c2d0,2025-05-26 07:59:33.746614+02:00,null,df5fdda4-a1d5-4d8b-8237-6a31ebb53e7b,2025-05-26 07:59:33.746569+02:00,null,2025-05-26T07:59:33.018154+02:00
6,null,occupe,fonctionnel,en_service,58a1bffa-7961-4bd4-8cd0-96a2ec351eb5,2025-05-26 07:59:33.446826+02:00,null,78861d10-8d6c-461c-9a63-61183b0c5e08,2025-05-26 07:59:33.446813+02:00,null,2025-05-26T07:59:32.413973+02:00
7,null,libre,fonctionnel,en_service,cf72a896-3018-4662-b9b4-4cdc4b7603a1,2025-05-26 07:59:33.159018+02:00,null,88eb3f11-ccb3-4e55-b16a-123fd197f2b3,2025-05-26 07:59:33.159003+02:00,null,2025-05-26T07:59:32.407438+02:00
8,null,occupe,fonctionnel,en_service,3f12bfa3-a29d-4174-b21a-cd1347855e8a,2025-05-26 07:59:33.083079+02:00,null,2b6c3099-49ff-418f-b90e-712d8fa0e605,2025-05-26 07:59:33.083066+02:00,null,2025-05-26T07:59:32.402006+02:00
9,null,reserve,fonctionnel,en_service,6c01109e-6fb9-4e63-8a91-d7347093d844,2025-05-26 07:59:19.601943+02:00,null,0dfe274e-2f8e-4dc9-bfb7-6255d0d0011d,2025-05-26 07:59:19.601928+02:00,null,2025-05-26T07:59:19.247945+02:00
10,null,occupe,fonctionnel,en_service,6ee58a2b-429f-4af6-adc4-8602a4d849d2,2025-05-26 07:58:57.246612+02:00,null,1bfb3b3c-0178-45fe-8d6e-d27845c5ad7e,2025-05-26 07:58:57.246583+02:00,null,2025-05-26T07:58:57.113151+02:00
11,null,libre,fonctionnel,en_service,9dc9bdf6-bf42-4dc5-b3dc-2bf0a40d024c,2025-05-26 07:58:54.904625+02:00,null,f7051d57-dd6c-42d7-b752-aa2fcd76b4dc,2025-05-26 07:58:54.904612+02:00,null,2025-05-26T07:58:54.75814+02:00
12,null,occupe,fonctionnel,en_service,c42453da-3539-40ed-8f1e-e58af2906faf,2025-05-26 07:58:54.365006+02:00,null,cae0762a-9ce9-4b92-8243-6a4596ceeb86,2025-05-26 07:58:54.364993+02:00,null,2025-05-26T07:58:54.121718+02:00
13,null,occupe,fonctionnel,en_service,dab54ac8-cdf2-4ecb-a507-301bed475d08,2025-05-26 07:58:41.454047+02:00,null,d6b89354-a44a-4e9e-8a27-bb8aad7799a9,2025-05-26 07:58:41.454033+02:00,null,2025-05-26T07:58:41.314135+02:00
14,null,occupe,fonctionnel,en_service,0e44f916-05f0-486a-ad53-d4cae56f721e,2025-05-26 07:58:31.068717+02:00,null,3ba5546d-f476-465d-af0c-fd13a1f94f03,2025-05-26 07:58:31.068703+02:00,null,2025-05-26T07:58:30.846505+02:00
15,null,occupe,fonctionnel,en_service,16ffdee0-e70f-48a1-b016-d9438a3c2771,2025-05-26 07:58:00.453904+02:00,null,14a427f6-0ccf-4488-af46-bb848a85277a,2025-05-26 07:58:00.453888+02:00,null,2025-05-26T07:58:00.326522+02:00
16,null,occupe,fonctionnel,en_service,977c34f0-ee3b-477e-a2e6-4b817eca78cf,2025-05-26 07:57:48.073326+02:00,null,d16cda9c-3b8b-426a-86cb-84a75dfd7194,2025-05-26 07:57:48.073313+02:00,null,2025-05-26T07:57:47.946153+02:00
17,null,libre,fonctionnel,en_service,61d780e7-5184-476f-b44b-44259a3e53db,2025-05-26 07:57:42.885924+02:00,null,de4df934-5589-4fb1-89ca-098a93c5be47,2025-05-26 07:57:42.885907+02:00,null,2025-05-26T07:57:42.762388+02:00
18,fonctionnel,libre,null,en_service,4eadafdd-f823-4892-95d6-0e9714f81daa,2025-05-26 07:57:41.899749+02:00,null,9b2e7024-0490-46c9-8528-d4047c35a8aa,2025-05-26 07:57:41.899736+02:00,null,2025-05-26T07:57:41.730237+02:00
19,null,occupe,fonctionnel,en_service,d90ad6c7-3a81-493b-9f41-071b9eea0f5e,2025-05-26 07:57:39.427600+02:00,null,855744ff-0857-44d0-87ee-8459b0780764,2025-05-26 07:57:39.427582+02:00,null,2025-05-26T07:57:38.903283+02:00
20,null,libre,fonctionnel,en_service,3a869706-37c2-44a3-8f74-fd36289dd232,2025-05-26 07:57:34.891611+02:00,null,3fd7c538-bad2-4dda-b7d4-8a8a55baf70c,2025-05-26 07:57:34.891599+02:00,null,2025-05-26T07:57:34.772854+02:00
