,p_cum,nature,amenageur,id_station_itinerance,p_max,operateur,geometry,node_id,aire
0,600.0,station_irve,Allego,FRALLPGO800139,300.0,Allego,POINT (714175.3307115922 6240561.484493943),5161,repos
1,600.0,station_irve,Allego,FRALLPGO800141,300.0,Allego,POINT (714175.3307115922 6240561.484493943),5163,repos
2,1322.0,station_irve,Power Dot France,FRPD1PMBLBLN,200.0,Power Dot France,POINT (838900.8308649176 6359979.6549895555),10843,repos
3,600.0,station_irve,Allego,FRALLPGO800252,300.0,Allego,POINT (714163.0128946181 6240694.636576403),5217,repos
4,600.0,station_irve,Allego,FRALLPGO800265,300.0,Allego,POINT (714175.3307115922 6240561.484493943),5230,repos
5,566.0,station_irve,E-TOTEM INFRADIV,FRETIP63164A,150.0,E-Totem,POINT (712205.46045322 6526852.213319149),7790,repos
6,600.0,station_irve,Allego,FRALLPGO800072,300.0,Allego,POINT (845168.847714611 6411386.792218141),5113,repos
7,800.0,station_irve,Allego,FRALLPGO800400,400.0,Allego,POINT (842053.9921400214 6395769.414406624),5256,repos
8,800.0,station_irve,Allego,FRALLPGO800401,400.0,Allego,POINT (842053.9921400214 6395769.414406624),5257,repos
9,800.0,station_irve,Allego,FRALLPGO800402,400.0,Allego,POINT (842053.9921400214 6395769.414406624),5258,repos
10,800.0,station_irve,Allego,FRALLPGO800403,400.0,Allego,POINT (842053.9921400214 6395769.414406624),5259,repos
11,650.0,station_irve,Allego,FRALLPGO800404,300.0,Allego,POINT (842053.9921400214 6395769.414406624),5260,repos
12,650.0,station_irve,Allego,FRALLPGO800405,300.0,Allego,POINT (845168.847714611 6411386.792218141),5261,repos
13,650.0,station_irve,Allego,FRALLPGO800406,300.0,Allego,POINT (714175.3307115922 6240561.484493943),5262,repos
14,650.0,station_irve,Allego,FRALLPGO800407,300.0,Allego,POINT (714163.0128946181 6240694.636576403),5263,repos
15,650.0,station_irve,Allego,FRALLPGO800408,300.0,Allego,POINT (785552.8703578352 6288391.061639141),5264,repos
16,600.0,station_irve,Allego,FRALLPGO800409,300.0,Allego,POINT (785552.8703578352 6288391.061639141),5265,repos
17,600.0,station_irve,Allego,FRALLPGO800410,300.0,Allego,POINT (785552.8703578352 6288391.061639141),5266,repos
18,600.0,station_irve,Allego,FRALLPGO800411,300.0,Allego,POINT (785552.8703578352 6288391.061639141),5267,repos
19,400.0,station_irve,Allego,FRALLPGO800412,200.0,Allego,POINT (785552.8703578352 6288391.061639141),5268,repos
20,600.0,station_irve,Allego,FRALLPGO800413,300.0,Allego,POINT (785552.8703578352 6288391.061639141),5269,repos
21,600.0,station_irve,Allego,FRALLPGO800414,300.0,Allego,POINT (785552.8703578352 6288391.061639141),5270,repos
22,650.0,station_irve,Allego,FRALLPGO800415,300.0,Allego,POINT (469463.66840636905 6761252.4310961785),5271,repos
23,400.0,station_irve,Allego,FRALLPGO800416,200.0,Allego,POINT (469463.66840636905 6761252.4310961785),5272,repos
24,600.0,station_irve,Allego,FRALLPGO800417,300.0,Allego,POINT (469463.66840636905 6761252.4310961785),5273,repos
25,600.0,station_irve,Allego,FRALLPGO800418,300.0,Allego,POINT (469463.66840636905 6761252.4310961785),5274,repos
26,600.0,station_irve,Allego,FRALLPGO800419,300.0,Allego,POINT (469463.66840636905 6761252.4310961785),5275,repos
27,350.0,station_irve,Allego,FRALLPGO800420,150.0,Allego,POINT (469740.3163156796 6761373.568431735),5276,repos
28,600.0,station_irve,Allego,FRALLPGO800421,300.0,Allego,POINT (469740.3163156796 6761373.568431735),5277,repos
29,600.0,station_irve,Allego,FRALLPGO800422,300.0,Allego,POINT (469740.3163156796 6761373.568431735),5278,repos
30,600.0,station_irve,Allego,FRALLPGO800423,300.0,Allego,POINT (469740.3163156796 6761373.568431735),5279,repos
31,400.0,station_irve,Allego,FRALLPGO800424,200.0,Allego,POINT (469740.3163156796 6761373.568431735),5280,repos
32,650.0,station_irve,Allego,FRALLPGO800425,300.0,Allego,POINT (867424.9895643824 6297793.9509569),5281,repos
33,600.0,station_irve,Allego,FRALLPGO800427,300.0,Allego,POINT (867424.9895643824 6297793.9509569),5282,repos
34,600.0,station_irve,Allego,FRALLPGO800428,300.0,Allego,POINT (867424.9895643824 6297793.9509569),5283,repos
35,2722.0,station_irve,Electra,FRELCPAAPIA,400.0,Electra,POINT (691250.783162042 6183801.2722036615),7156,repos
36,600.0,station_irve,Allego,FRALLPGO800430,300.0,Allego,POINT (869090.7090147808 6289572.479761289),5285,repos
37,650.0,station_irve,Allego,FRALLPGO800431,300.0,Allego,POINT (869090.7090147808 6289572.479761289),5286,repos
38,600.0,station_irve,Allego,FRALLPGO800432,300.0,Allego,POINT (869090.7090147808 6289572.479761289),5287,repos
39,600.0,station_irve,Allego,FRALLPGO800433,300.0,Allego,POINT (869090.7090147808 6289572.479761289),5288,repos
40,400.0,station_irve,Allego,FRALLPGO800434,200.0,Allego,POINT (869090.7090147808 6289572.479761289),5289,repos
41,600.0,station_irve,Allego,FRALLPGO800435,300.0,Allego,POINT (869090.7090147808 6289572.479761289),5290,repos
42,600.0,station_irve,Allego,FRALLPGO800436,300.0,Allego,POINT (869090.7090147808 6289572.479761289),5291,repos
43,650.0,station_irve,Allego,FRALLPGO800450,300.0,Allego,POINT (617873.6323891926 6810557.8255457515),5292,repos
44,600.0,station_irve,Allego,FRALLPGO800451,300.0,Allego,POINT (617873.6323891926 6810557.8255457515),5293,repos
45,600.0,station_irve,Allego,FRALLPGO800452,300.0,Allego,POINT (617873.6323891926 6810557.8255457515),5294,repos
46,600.0,station_irve,Allego,FRALLPGO800453,300.0,Allego,POINT (617873.6323891926 6810557.8255457515),5295,repos
47,600.0,station_irve,Allego,FRALLPGO800454,300.0,Allego,POINT (617873.6323891926 6810557.8255457515),5296,repos
48,3522.0,station_irve,Electra,FRELCPAASPAE,400.0,Electra,POINT (418172.5202780982 6496792.013149861),7159,repos
49,650.0,station_irve,Allego,FRALLPGO800455,300.0,Allego,POINT (614408.5301993847 6779268.7164687505),5297,repos
50,400.0,station_irve,Allego,FRALLPGO800456,200.0,Allego,POINT (614408.5301993847 6779268.7164687505),5298,repos
51,600.0,station_irve,Allego,FRALLPGO800457,300.0,Allego,POINT (614408.5301993847 6779268.7164687505),5299,repos
52,600.0,station_irve,Allego,FRALLPGO800458,300.0,Allego,POINT (614408.5301993847 6779268.7164687505),5300,repos
53,2322.0,station_irve,Electra,FRELCPAASPAO,400.0,Electra,POINT (417946.0850201925 6496812.384267642),7160,repos
54,650.0,station_irve,Allego,FRALLPGO800459,300.0,Allego,POINT (614554.9876647531 6779346.440387377),5301,repos
55,400.0,station_irve,Allego,FRALLPGO800460,200.0,Allego,POINT (614554.9876647531 6779346.440387377),5302,repos
56,400.0,station_irve,Allego,FRALLPGO800461,200.0,Allego,POINT (614554.9876647531 6779346.440387377),5303,repos
57,400.0,station_irve,Allego,FRALLPGO800462,200.0,Allego,POINT (614554.9876647531 6779346.440387377),5304,repos
58,650.0,station_irve,Allego,FRALLPGO800463,300.0,Allego,POINT (638178.410879068 6672038.181622687),5305,repos
59,400.0,station_irve,Allego,FRALLPGO800464,200.0,Allego,POINT (638178.410879068 6672038.181622687),5306,repos
60,600.0,station_irve,Allego,FRALLPGO800465,300.0,Allego,POINT (638178.410879068 6672038.181622687),5307,repos
61,600.0,station_irve,Allego,FRALLPGO800466,300.0,Allego,POINT (638178.410879068 6672038.181622687),5308,repos
62,600.0,station_irve,Allego,FRALLPGO800467,300.0,Allego,POINT (638178.410879068 6672038.181622687),5309,repos
63,650.0,station_irve,Allego,FRALLPGO800468,300.0,Allego,POINT (638382.2515097719 6671852.018351196),5310,repos
64,400.0,station_irve,Allego,FRALLPGO800469,200.0,Allego,POINT (638382.2515097719 6671852.018351196),5311,repos
