nom,roadname,gestionnaire,parc_id,sens_aire,nature,core,double,amenageur,operateur,p_cum,p_max,id_station_itinerance,station_id
Saubion Est,,,1368,est,aire de repos,True,,,,,,,
Saubion Ouest,,,1369,ouest,aire de repos,True,,,,,,,
A63 - LABENNE EST,,ASF,2154,est,aire de service,True,,Ionity,Ionity,1543.0,350.0,FRIOYP9587245,11579
A63 - LABENNE EST,,ASF,2154,est,aire de service,True,,Ionity,Ionity,1543.0,350.0,FRIOYP9587246,11580
A63 - LABENNE OUEST,,ASF,1920,ouest,aire de service,True,,,,,,,
Onesse et Laharie Ouest,,,1414,ouest,aire de repos,True,,,,,,,
Onesse et Laharie Est,,,1415,est,aire de repos,True,,,,,,,
Labouheyre Est,,,1429,est,aire de repos,True,,,,,,,
Labouheyre Ouest,,,1430,ouest,aire de repos,True,,,,,,,
Porte des Landes Ouest,,,1921,ouest,aire de service,True,,Zunder,Zunder,6554.2,400.0,FRZUNP6746237616245941985,18945
Porte des Landes Est,,,2145,est,aire de service,True,,Zunder,Zunder,6554.2,400.0,FRZUNP5909246146811129817,18943
Lugos Est,,,1441,est,aire de repos,True,,,,,,,
Océan Ouest,,,1922,ouest,aire de service,True,,Zunder,Zunder,6554.2,400.0,FRZUNP2001223164604952988,18935
Océan Est,,,2153,est,aire de service,True,,Shell Recharge,Shell Recharge,94.0,50.0,FRSHEP4730503,16579
Océan Est,,,2153,est,aire de service,True,,Zunder,Zunder,6550.8,400.0,FRZUNP4015250050291921289,18939
Magescq Est,,,1384,est,aire de repos,True,,,,,,,
Magescq Ouest,,,1385,ouest,aire de repos,True,,,,,,,
A64 - HASTINGUES,,ASF,1923,,aire de service,False,,Ionity,Ionity,3852.0,350.0,FRIOYP9587523,11683
A64 - HASTINGUES,,ASF,1923,,aire de service,False,,Ionity,Ionity,3852.0,350.0,FRIOYP9587524,11684
Magret,,,1355,,aire de repos,False,,,,,,,
Haut de Départ,,,1356,,aire de repos,False,,,,,,,
A64 - LACQ AUDEJOS SUD,,ASF,1926,sud,aire de service,False,,Ionity,Ionity,1543.0,350.0,FRIOYP9587263,11588
A64 - LACQ AUDEJOS NORD,,ASF,1925,nord,aire de service,False,,Ionity,Ionity,1543.0,350.0,FRIOYP9587215,11571
A63 - BIDART EST,,ASF,1924,est,aire de service,True,,TotalEnergies Marketing France,TotalEnergies Marketing France,450.0,175.0,FRHPCPNF059743TOTEM,10993
A63 - BIDART EST,,ASF,1924,est,aire de service,True,,TotalEnergies Marketing France,TotalEnergies Marketing France,450.0,175.0,FRHPCPNF059903TOTEM,11003
Urrugne,,,1340,,aire de repos,True,,,,,,,
Aire du Béarn Vert et Or,,,1352,,aire de repos,False,,,,,,,
Serres Morlaas Nord,,,1336,nord,aire de repos,False,,,,,,,
Serres Morlaas Sud,,,1337,sud,aire de repos,False,,,,,,,
