Aire,NomUsuel,Nature,GVO,Surface,Réseau,Axe
RRN C,Aire de Provence Verdon - VIDAUBAN-NORD,S,ESCOTA,24266.23969,C,A8
RRN C,VIDAUBAN-SUD,S,ESCOTA,58303.58781,C,A8
RRN C,ROUSSET,S,ESCOTA,51589.58553,C,A8
RRN C,MANOIRE,S,ASF,32668.21678,C,A89
RRN C,PAYS DE BRIVE,S,ASF,48939.65887,C,A89
RRN C,ASF_A_227  - Aire du Queyran Est,R,ASF,28413.69614,C,A62
RRN C,Villeneuve l'Archeveque,S,APRR,240728.9423,C,A5
RRN C,LES HERBIERS,S,ASF,142201.861,C,A87
RRN C,la Bouble,R,APRR,9952.51505,C,A71
RRN C,PALOMBIERES,S,ASF,92654.2466,C,A89
RRN C,Vironvay Sud,S,SAPN,29351.09343,C,A13
RRN C,Vironvay Nord,S,SAPN,40302.32167,C,A13
RRN C,Reveillon,R,SANEF,7608.84097,C,A26
RRN C,Bord Sud,R,SAPN,13316.19102,C,A13
RRN C,Bord Nord,R,SAPN,12470.43691,C,A13
RRN C,ASF_A_446 - Aire de Mazères,R,ASF,73850.7705,C,A66
RRN C,Manoirs du Perche,S,COFIROUTE,80614.93045,C,A11
RRN C,Lyon-Montluel,S,APRR,73793.68311,C,A42
RRN C,Aire de Limours-Briis-sous-Forges,S,COFIROUTE,68387.34233,C,A10
RRN C,Nemours,S,APRR,70035.90316,C,A6
RRN C,Salbris La Loge,S,COFIROUTE,42064.71974,C,A71
RRN C,Salbris Theillay,S,COFIROUTE,40121.94756,C,A71
RRN C,SAINT RAMBERT D'ALBON OUEST,S,ASF,165114.1828,C,A7
RRN C,SAINT RAMBERT D'ALBON EST,S,ASF,100960.3951,C,A7
RRN C,La Jument Verte,R,APRR,36970.87814,C,A39
RRN C,Le Chat Perche,R,APRR,35379.82756,C,A39
RRN C,la Valliere,R,APRR,53529.41501,C,A39
RRN C,Savigny,R,APRR,58323.78983,C,A39
RRN C,MAS D'AGENAIS NORD,S,ASF,59042.82589,C,A62
RRN C,Maison Dieu,S,APRR,62554.86633,C,A6
RRN C,La Chaponne,S,APRR,66852.79196,C,A6
RRN C,Havrincourt,S,SANEF,20521.84031,C,A2
RRN C,Graincourt,S,SANEF,20952.95206,C,A2
RRN C,Longueil-Sainte-Marie,R,SANEF,6193.09306,C,A1
RRN C,Remy,R,SANEF,22892.89262,C,A1
RRN C,LES LAUVETS,R,ESCOTA,15304.17229,C,A57
RRN C,LE SUVE DU VENT,R,ESCOTA,65955.962,C,A57
RRN C,Le Rossignol,R,APRR,45541.60585,C,A6
RRN C,MORNAS LES ADRETS,S,ASF,58199.85809,C,A7
RRN C,Les Tomelles,R,APRR,65988.05249,C,A5
RRN C,LA GRANDE BORNE,R,ASF,32707.87348,C,A7
RRN C,ASF_A_346 - Aire d'Auberives,R,ASF,47203.25666,C,A7
RRN C,Le Bois de Servole,R,APRR,30695.74639,C,A36
RRN C,MORNAS VILLAGE,S,ASF,148224.7393,C,A7
RRN C,LES TERRASSES DE   PROVENCE CENTRE,S,ESCOTA,52093.04506,C,A8
RRN C,MANZAT,S,ASF,46092.98317,C,A89
RRN C,Jugy,R,APRR,49379.34264,C,A6
RRN C,ASF_A_361 - Aire de Vergèze Sud,R,ASF,45654.60411,C,A9
RRN C,Morainvilliers Nord,S,SAPN,48241.11089,C,A13
RRN C,La Porte d'Alsace Nord,S,APRR,86050.18438,C,A36
RRN C,Parc Thierry,R,APRR,29232.36863,C,A6
RRN C,Aire des Deux-Sèvres,S,ASF,74307.81231,C,A83
RRN C,LA VENDEE Ouest,S,ASF,244523.5037,C,A83
RRN C,LES BROUZILS,S,ASF,181489.069,C,A83
RRN C,ASF_A_478 - Aire de Doeuil-sur-le-Mignon Ouest,R,ASF,47762.55887,C,A10
RRN C,ASF_A_479 - Aire de Lozay,R,ASF,41754.6886,C,A10
RRN C,SAUGON OUEST,S,ASF,227292.7433,C,A10
RRN C,CANDUMY,R,ESCOTA,7516.48604,C,A8
RRN C,ROUDA?,R,ESCOTA,33509.3961,C,A8
RRN C,LANCON DE PROVENCE OUEST,S,ASF,136742.7637,C,A7
RRN C,LANCON DE PROVENCE EST,S,ASF,62618.76582,C,A7
RRN C,Aire de la Sainte Victoire,S,ESCOTA,78437.60867,C,A8
RRN C,Aire de repos Passy S2,R,ATMB,36616.15197,C,A40
RRN C,MORIERES,S,ASF,78150.16826,C,A7
RRN C,JARDIN DES CAUSSES DU LOT,S,ASF,83139.47256,C,A20
RRN C,Louis Pasteur,R,APRR,58457.42713,C,A39
RRN C,Porte de la Drome,S,AREA,86960.62757,C,A49
RRN C,Royans-Vercors,S,AREA,72239.24322,C,A49
RRN C,Setques Nord,P,SANEF,5567.53013,C,A26
RRN C,ASF_A_413 - Aire de Bages,R,ASF,18587.25995,C,A9
RRN C,ASF_A_408 - Aire de Florensac - Est,R,ASF,7548.48385,C,A9
RRN C,ASF_A_408 - Aire de Florensac Ouest,R,ASF,7706.99886,C,A9
RRN C,ASF_A_414 - Aire de Gasparets,R,ASF,33245.42302,C,A9
RRN C,ASF_A_320 - Aire de Loupian Georges Brassens,R,ASF,104589.3699,C,A9
RRN C,ASF_A_319 - Aire de Mèze,R,ASF,40625.35469,C,A9
