objetID,dateRefere,route,pr,depPr,concession,abs,cumul,x,y,z,cote,voie,accrochage,dateMES,nom,No,nbBretelle,nature,nature_lib,forme,forme_lib,fonction,commentair,sectionnem,sectionn_1
EchA0001Pr19,2025-01-01,A0001,19,95,C,548.0,19423.0,665656.24,6879405.05,0.0,I,0,ACCROCHE,1964-12-01,Roissy (6),6,4,DIFFUSEUR,Diffuseur,AUTRE,Autres formes,F,212,95,SANEF
EchA0001Pr21,2025-01-01,A0001,21,95,C,901.0,21776.0,666398.0,6881648.84,0.0,I,0,ACCROCHE,1964-12-01,A1/N104,,4,BIFURCATION,N?ud autoroutier (Bifurcation),AUTRE,Autres formes,T,213,95,SANEF
EchA0001Pr27,2025-01-01,A0001,27,95,C,875.0,27750.0,667208.65,6887491.88,0.0,I,0,ACCROCHE,1964-12-01,Survilliers (7),7,4,DIFFUSEUR,Diffuseur,LOSANGE,Losange,T,138,95,SANEF
EchA0001Pr33,2025-01-01,A0001,33,60,C,260.0,33135.0,668055.24,6892724.74,0.0,I,0,ACCROCHE,1964-12-01,Parc Asterix,,4,DIFFUSEUR,Diffuseur,TROMPETTE,Trompette,T,139,60,SANEF
EchA0001Pr42,2025-01-01,A0001,42,60,C,425.0,42300.0,671659.19,6900723.99,0.0,I,0,ACCROCHE,1964-12-01,Senlis Bonsecours (8),8,2,DIFFUSEUR,Diffuseur,AUTRE,Autres formes,F,32,60,SANEF
EchA0001Pr44,2025-01-01,A0001,44,60,C,119.0,43994.0,672894.66,6901826.91,0.0,I,0,ACCROCHE,1965-11-01,Senlis Chamant (8),8,2,DIFFUSEUR,Diffuseur,AUTRE,Autres formes,F,140,60,SANEF
EchA0001Pr57,2025-01-01,A0001,57,60,C,720.0,57595.0,677264.52,6913445.46,0.0,I,0,ACCROCHE,1965-11-01,Pont-Ste-Maxence (9),9,4,DIFFUSEUR,Diffuseur,TROMPETTE,Trompette,T,141,60,SANEF
EchA0001Pr66,2025-01-01,A0001,66,60,C,436.0,66311.0,678039.2,6921950.43,0.0,I,0,ACCROCHE,1965-11-01,Compiegne Ouest (10),10,4,DIFFUSEUR,Diffuseur,TROMPETTE,Trompette,T,142,60,SANEF
EchA0001Pr80,2025-01-01,A0001,80,60,C,567.0,80442.0,679803.35,6935828.63,0.0,I,0,ACCROCHE,1965-11-01,Ressons (11),11,4,DIFFUSEUR,Diffuseur,TROMPETTE,Trompette,T,206,60,SANEF
EchA0001Pr101,2025-01-01,A0001,101,80,C,301.0,101176.0,683521.05,6956094.56,0.0,I,0,ACCROCHE,1965-11-01,Roye (12),12,4,DIFFUSEUR,Diffuseur,TROMPETTE,Trompette,T,155,80,SANEF
