,p_cum,id_station_itinerance,p_max,node_id,core,parc_nature,parc_id
0,522.08,FR3R3P89258297,150.0,4632,False,echangeur,parc 3248
1,522.08,FR3R3P89258302,150.0,4633,True,echangeur,parc 4183
2,522.08,FR3R3P89283501,150.0,4636,False,echangeur,parc 3420
3,522.08,FR3R3P89283504,150.0,4637,True,rond-point,parc 4337
4,322.08,FR3R3P89333942,150.0,4644,True,echangeur,parc 2933
5,322.08,FR3R3P89363711,150.0,4647,False,rond-point,parc 4398
6,322.08,FR3R3P89363715,150.0,4649,False,echangeur,parc 3953
7,322.08,FR3R3P89363718,150.0,4650,False,rond-point,parc 4625
8,222.08,FR3R3P89363721,100.0,4651,False,echangeur,parc 3417
9,222.08,FR3R3P89363723,100.0,4652,False,echangeur,parc 3256
10,322.08,FR3R3P89363728,150.0,4654,True,echangeur,parc 2992
11,322.08,FR3R3P89363730,150.0,4655,True,echangeur,parc 3526
12,322.08,FR3R3P89363736,150.0,4657,False,echangeur,parc 3963
13,322.08,FR3R3P89363737,150.0,4658,True,echangeur,parc 3373
14,222.08,FR3R3P89363738,100.0,4659,False,echangeur,parc 3384
15,322.08,FR3R3P89363743,150.0,4663,True,echangeur,parc 3388
16,622.08,FR3R3P89363746,150.0,4666,False,echangeur,parc 3336
17,622.08,FR3R3P89363747,150.0,4667,True,echangeur,parc 3009
18,522.08,FR3R3P89363752,150.0,4670,True,echangeur,parc 3598
19,522.08,FR3R3P89363753,150.0,4671,False,echangeur,parc 3224
20,622.08,FR3R3P89660153,150.0,4675,False,echangeur,parc 3696
21,622.08,FR3R3P89882097,150.0,4680,True,rond-point,parc 4337
22,622.08,FR3R3P89882099,150.0,4681,True,echangeur,parc 3390
23,344.16,FR3R3P89882136,150.0,4686,True,rond-point,parc 4391
24,1032.48,FR3R3P89885401,150.0,4690,True,echangeur,parc 3387
25,614.72,FR3R3P90222922,150.0,4691,False,echangeur,parc 2439
26,322.08,FR3R3P90223023,150.0,4695,True,echangeur,parc 3006
27,742.08,FR3R3P90345561,180.0,4702,False,echangeur,parc 4114
28,284.16,FR3R3P90345563,120.0,4703,False,echangeur,parc 4114
29,284.16,FR3R3P90345567,120.0,4704,False,echangeur,parc 2701
30,786.24,FR3R3P90346758,180.0,4705,True,echangeur,parc 3492
31,830.4,FR3R3P90346794,180.0,4707,True,echangeur,parc 4101
32,344.16,FR3R3P90346811,150.0,4708,False,echangeur,parc 3731
33,636.8,FR3R3P90346818,150.0,4709,False,echangeur,parc 2890
34,1080.0,FR3R3P90346927,180.0,4714,False,echangeur,parc 4185
35,88.32,FR3R3P90346934,22.08,4715,False,echangeur,parc 4185
36,622.08,FR3R3P90346939,150.0,4717,False,echangeur,parc 3358
37,742.08,FR3R3P90346944,180.0,4719,True,echangeur,parc 3382
38,764.16,FR3R3P90882245,180.0,4722,False,echangeur,parc 3666
39,622.08,FR3R3P90882250,150.0,4723,False,echangeur,parc 3420
40,622.08,FR3R3P90882253,150.0,4724,False,echangeur,parc 3420
41,622.08,FR3R3P90929174,150.0,4733,False,echangeur,parc 3358
42,2400.0,FRALDPFR00916,300.0,4739,False,echangeur,parc 2564
43,300.0,FRALLPGO000206,150.0,4740,False,rond-point,parc 4287
44,143.0,FRALLPGO002004,50.0,4741,False,echangeur,parc 3836
45,143.0,FRALLPGO002005,50.0,4742,False,echangeur,parc 3836
