,p_cum,id_station_itinerance,p_max,node_id,core,parc_nature,parc_id
0,44.0,FRESEPS42095AC,22.0,4841,False,rond-point,parc 3328
1,644.0,FRATLPZ340FRPORTO2000001,150.0,4843,True,echangeur,parc 2539
2,44.0,FRALLEGO900541,22.0,4851,False,echangeur,parc 2990
3,600.0,FRALLEGO900067,300.0,4853,False,echangeur,parc 2900
4,88.32,FRLMSP89786298,22.08,4854,False,echangeur,parc 2911
5,644.0,FRBMPP172793P,150.0,4855,True,echangeur,parc 1477
6,600.0,FRALLEGO900498,300.0,4861,True,echangeur,parc 2066
7,600.0,FRALLEGO900175,300.0,4865,True,echangeur,parc 3065
8,300.0,FRALLEGO900055,150.0,4868,True,echangeur,parc 2676
9,300.0,FRALLEGO800184,150.0,4872,False,rond-point,parc 3428
10,2488.0,FRVIAP122244,300.0,4876,True,echangeur,parc 1634
11,600.0,FRALLEGO900114,300.0,4878,False,echangeur,parc 2021
12,1822.0,FRELCPEVRNO,300.0,4881,True,rond-point,parc 3471
13,600.0,FRALLEGO900001,300.0,4887,False,rond-point,parc 3405
14,44.0,FRS77E77363001,22.0,4888,True,echangeur,parc 2628
15,524.3,FRETIP86062A,150.0,4891,True,echangeur,parc 1737
16,4343.0,FRIOYPBO2NM4JUD1T,350.0,4894,True,echangeur,parc 2043
17,44.0,FRALLEGO999010,22.0,4900,True,echangeur,parc 1817
18,50.0,FRALLPGO000148,50.0,4902,False,echangeur,parc 2574
19,2422.0,FRELCPGLICC,300.0,4904,False,echangeur,parc 2964
20,44.0,FRALLEGO900909,22.0,4905,False,echangeur,parc 1575
21,88.32,FRLMSP89488047,22.08,4908,True,echangeur,parc 1857
22,960.0,FRIENP5L2Q08YETBR1,320.0,4909,True,echangeur,parc 1844
23,600.0,FRALLEGO900064,300.0,4918,True,echangeur,parc 1490
24,93.0,FRALLEGO002109,50.0,4920,True,echangeur,parc 1425
25,44.0,FRALLEGO900788,22.0,4921,False,echangeur,parc 1326
26,600.0,FRIZFPFAST289,150.0,4926,True,echangeur,parc 3038
27,2443.0,FRIOYP41IBABGJA431,400.0,4928,False,echangeur,parc 1456
28,200.0,FRALLEGO900258,75.0,4933,True,echangeur,parc 1817
29,36.0,FRS77E77384001,18.0,4935,False,echangeur,parc 1984
30,600.0,FRALLEGO900037,300.0,4937,False,echangeur,parc 3066
31,600.0,FRALLEGO800164,300.0,4939,False,echangeur,parc 1627
32,100.0,FRALLPGO000194,50.0,4942,True,echangeur,parc 2825
33,2243.0,FRIOYP73279ZBCXJ26,350.0,4944,True,echangeur,parc 2473
34,88.32,FRLMSP89638530,22.08,4946,True,echangeur,parc 1765
35,44.0,FRALLEGO900843,22.0,4950,True,echangeur,parc 3065
36,44.0,FRALLEGO999042,22.0,4951,True,echangeur,parc 2152
37,44.0,FRESEPS42218AZ,22.0,4952,False,echangeur,parc 2716
38,36.0,FRS77E77053004,18.0,4958,True,echangeur,parc 2869
39,822.0,FRELCPLVVEP,200.0,4959,False,echangeur,parc 2645
40,600.0,FRALLEGO900171,300.0,4961,False,echangeur,parc 2995
41,46.0,FRSE1PSE57FACA,24.0,4970,False,echangeur,parc 2936
42,300.0,FRIZFPFAST269,150.0,4971,False,echangeur,parc 2121
43,300.0,FRIZFPFAST275,150.0,4974,True,echangeur,parc 2539
44,100.0,FRALLEGO800801,50.0,4975,False,echangeur,parc 1627
45,688.0,FRALLP55YEP9DYN49Q,150.0,4977,False,echangeur,parc 2653
46,922.0,FRELCPLERMN,300.0,4979,True,echangeur,parc 2022
47,300.0,FRALLEGO800996,150.0,4982,False,echangeur,parc 2743
48,522.0,FRETIP30189A,150.0,4993,True,echangeur,parc 1425
49,44.0,FRALLEGO900632,22.0,5001,False,echangeur,parc 2867
50,622.0,FRELCPMTBKF,150.0,5002,False,rond-point,parc 3473
51,300.0,FRALLEGO900921,150.0,5007,True,echangeur,parc 1814
52,600.0,FRALLEGO900125,300.0,5012,True,echangeur,parc 2070
53,300.0,FRALLEGO900957,150.0,5032,False,echangeur,parc 1773
54,600.0,FRALLEGO900108,300.0,5033,True,echangeur,parc 2070
55,644.0,FRELCPSEGBU,150.0,5037,False,echangeur,parc 2711
56,960.0,FRIENP29U00A8BOQM5,320.0,5038,False,echangeur,parc 2202
57,300.0,FRIZFPFAST473,150.0,5041,True,echangeur,parc 2477
58,160.0,FRALLEGO900955,80.0,5044,False,echangeur,parc 1773
59,1422.0,FRELCPLUTHK,300.0,5046,True,echangeur,parc 1887
60,46.0,FRSE1PSE71MACA,24.0,5048,False,echangeur,parc 1739
61,24.0,FRSIGESIGE310,24.0,5053,True,echangeur,parc 2637
62,822.0,FRELCPSTVIB,200.0,5055,True,echangeur,parc 2055
63,24.0,FRE04POAZS333,24.0,5057,True,echangeur,parc 1592
64,544.0,FRETIP81297A,150.0,5059,False,echangeur,parc 2466
65,200.0,FRALLEGO900261,75.0,5063,True,echangeur,parc 2973
66,50.0,FRGLYPLYON143,50.0,5071,True,echangeur,parc 3100
67,1644.0,FRELCPTRAIB,300.0,5073,True,echangeur,parc 2034
68,300.0,FRALLEGO800900,150.0,5078,False,echangeur,parc 2703
69,44.0,FRESEPS42207AA,22.0,5080,False,echangeur,parc 2721
70,44.0,FRGYMPEVBP2227056,22.0,5084,False,echangeur,parc 2547
71,600.0,FRALLEGO800907,300.0,5087,False,echangeur,parc 1508
72,2422.0,FRATLPFR00303,300.0,5088,False,echangeur,parc 2964
73,300.0,FRIZFPFAST229,150.0,5091,False,echangeur,parc 1673
74,22.0,FRELCPCZLE,22.0,5095,True,echangeur,parc 1890
75,600.0,FRALLEGO900209,300.0,5096,True,echangeur,parc 1817
76,600.0,FRALLEGO800906,300.0,5099,False,echangeur,parc 1508
77,600.0,FRALLEGO800156,300.0,5105,True,echangeur,parc 2254
78,72.0,FRVIAP142053,25.0,5110,False,echangeur,parc 3103
79,600.0,FRVIAP20122060003,300.0,5113,True,echangeur,parc 3100
80,600.0,FRALLEGO900069,300.0,5114,False,echangeur,parc 2606
81,844.0,FRELCPPESHI,400.0,5120,True,echangeur,parc 1487
82,44.0,FRALLEGO900871,22.0,5121,True,echangeur,parc 3065
83,309.12,FRLMSP89876989,22.08,5128,True,echangeur,parc 1768
84,44.0,FRALLEGO999018,22.0,5130,False,echangeur,parc 2206
85,150.0,FRALLP4IL1L8IW6RJ9,150.0,5131,True,echangeur,parc 2152
86,50.0,FRALLPGO000002,50.0,5133,False,echangeur,parc 1506
87,600.0,FRIZFPFAST358,150.0,5136,False,rond-point,parc 3249
88,300.0,FRGYMP23BZ9160B,150.0,5138,False,echangeur,parc 1331
89,600.0,FRALLEGO800161,300.0,5139,False,echangeur,parc 2898
90,2422.0,FRATLPFR00865,300.0,5140,False,echangeur,parc 2705
91,100.0,FRALLEGO700304,50.0,5142,True,rond-point,parc 3137
92,360.0,FRIZFPFAST321,180.0,5144,True,echangeur,parc 1344
93,600.0,FRALLEGO700223,300.0,5151,True,rond-point,parc 3137
94,300.0,FRALLEGO800194,150.0,5152,False,echangeur,parc 1921
95,1800.0,FRVIAP125005,300.0,5154,False,echangeur,parc 1916
96,1222.0,FRELCPGRAJP,300.0,5155,True,echangeur,parc 1405
97,2622.0,FRELCPBEAGH,300.0,5156,True,echangeur,parc 1764
98,300.0,FRIZFPFAST94,150.0,5159,True,echangeur,parc 1406
99,1222.0,FRELCPTOUNO,300.0,5164,False,echangeur,parc 2990
100,44.0,FRBMPP181782P50077502984449,22.0,5166,False,rond-point,parc 3153
101,300.0,FRIZFPFAST171,150.0,5168,True,rond-point,parc 3218
102,44.0,FRESEPS42207AE,22.0,5171,False,echangeur,parc 2721
103,600.0,FRBMPP212706P,150.0,5172,False,echangeur,parc 2115
104,400.0,FRE04POAZS349,200.0,5176,False,echangeur,parc 2239
105,132.0,FRETIP26058A,22.0,5179,True,echangeur,parc 1515
106,44.0,FRALLEGO800504,22.0,5180,False,rond-point,parc 3247
107,4343.0,FRIOYP127COCXF58EH,350.0,5184,True,echangeur,parc 2268
108,132.0,FRBMPP202464P,22.0,5187,False,echangeur,parc 2218
109,44.0,FRALLEGO900716,22.0,5188,True,echangeur,parc 2251
110,2532.0,FRVIAP122088,300.0,5190,False,echangeur,parc 2301
111,400.0,FRE04POAZS287,200.0,5194,True,echangeur,parc 2152
112,36.0,FRS77E77047001,18.0,5195,True,echangeur,parc 2316
113,50.0,FRE04POAZS213,50.0,5198,True,echangeur,parc 1489
114,3643.0,FRIOYP4D1VQK8LKMUL,350.0,5201,True,echangeur,parc 1457
115,46.0,FRSE1PSE43YACA,24.0,5202,False,echangeur,parc 2512
116,622.0,FRELCPMONHI,150.0,5204,False,rond-point,parc 3143
117,50.0,FRVIAP2014207101,25.0,5211,False,echangeur,parc 2611
118,600.0,FRALLEGO800905,300.0,5215,False,echangeur,parc 1508
119,44.0,FRS77E77053001,22.0,5218,True,echangeur,parc 2018
120,622.0,FRATLPFR00335,150.0,5220,False,echangeur,parc 2014
121,420.0,FRVIAP2012208603,210.0,5223,False,echangeur,parc 2287
122,600.0,FRALLEGO900133,300.0,5225,False,echangeur,parc 2435
123,300.0,FRE04POAZS126,150.0,5226,True,echangeur,parc 2740
124,360.0,FRIZFPFAST33,180.0,5227,False,echangeur,parc 1348
125,44.0,FRALLEGO800734,22.0,5230,True,echangeur,parc 2254
126,600.0,FRALLEGO900328,300.0,5232,False,echangeur,parc 2990
127,1622.0,FRELCPCSMHC,400.0,5238,False,echangeur,parc 1893
128,22.0,FRALLEGO800507,22.0,5245,False,echangeur,parc 2239
129,300.0,FRGYMP23BZ9200B,150.0,5263,False,echangeur,parc 1819
130,300.0,FRIZFPFAST115,150.0,5265,False,echangeur,parc 1379
131,600.0,FRALLEGO900503,300.0,5269,True,echangeur,parc 1989
132,44.0,FRESEPS42218AC,22.0,5273,False,echangeur,parc 2458
133,600.0,FRALLEGO900027,300.0,5276,False,echangeur,parc 2911
134,44.0,FRALLEGO900824,22.0,5277,False,echangeur,parc 2995
135,24.0,FRE04POAZS304,24.0,5284,False,rond-point,parc 3309
136,88.32,FRLMSP89647198,22.08,5286,False,echangeur,parc 2900
137,44.0,FRALLEGO800736,22.0,5288,True,echangeur,parc 2254
138,44.0,FRESEPS42005AD,22.0,5291,False,echangeur,parc 3028
139,600.0,FRIZFPFAST89,150.0,5293,True,rond-point,parc 3272
140,2532.0,FRVIAP122049,300.0,5295,True,echangeur,parc 1446
141,50.0,FRGLYPLYON63,50.0,5296,True,rond-point,parc 3436
142,350.0,FRALLEGO900291,150.0,5297,False,echangeur,parc 2435
143,300.0,FRALLEGO900416,150.0,5301,True,echangeur,parc 1363
144,822.0,FRELCPCOGCC,200.0,5302,False,rond-point,parc 3314
145,200.0,FRALLEGO900290,75.0,5312,False,echangeur,parc 3066
146,44.0,FRALLEGO900801,22.0,5314,True,echangeur,parc 2066
147,48.0,FRIXLELIMO80,24.0,5318,False,echangeur,parc 2743
148,44.0,FRALLEGO999094,22.0,5319,True,echangeur,parc 1814
149,300.0,FRIZFPFAST136,150.0,5327,True,echangeur,parc 1814
150,2022.0,FRELCPCOQCH,225.0,5337,False,echangeur,parc 2286
151,300.0,FRALLEGO800106,150.0,5340,False,echangeur,parc 2403
152,644.0,FRATLPFR00337,150.0,5341,False,echangeur,parc 2025
153,300.0,FRALLEGO800908,150.0,5344,False,echangeur,parc 1508
154,44.0,FRALLEGO900653,22.0,5346,False,echangeur,parc 1773
155,2400.0,FRATLPFR00930,300.0,5347,True,echangeur,parc 2069
156,2222.0,FRELCPSERKO,400.0,5349,True,echangeur,parc 2050
157,93.0,FRALLEGO002105,50.0,5352,False,echangeur,parc 2741
158,300.0,FRE04POAZS188,150.0,5355,True,echangeur,parc 2048
159,50.0,FRALLPGO000119,50.0,5357,True,rond-point,parc 3213
160,50.0,FRE04POAZS220,50.0,5358,True,echangeur,parc 2630
161,2244.0,FRELCPSDRPG,225.0,5359,True,echangeur,parc 1603
162,24.0,FRIXLPLIMO29,24.0,5360,False,echangeur,parc 3002
163,6443.0,FRIOYP71IJ0PM2I9PQ,350.0,5363,True,echangeur,parc 2142
164,44.0,FRALLEGO002023,22.0,5368,False,echangeur,parc 1383
165,600.0,FRALLEGO900190,300.0,5369,False,echangeur,parc 2577
166,160.0,FRALLEGO600004,80.0,5373,False,echangeur,parc 2359
167,48.0,FRGLYPLYON174,24.0,5374,False,echangeur,parc 1587
168,2243.0,FRIOYP7W2FEZYCC5S2,350.0,5376,False,echangeur,parc 2854
169,2044.0,FRELCPSDPCA,300.0,5378,True,echangeur,parc 1405
170,1872.0,FRELCPSFOMB,300.0,5379,True,echangeur,parc 1622
171,44.0,FRESEPS42218AM,22.0,5382,False,echangeur,parc 2717
172,600.0,FRALLEGO900318,300.0,5389,False,echangeur,parc 2577
173,1200.0,FRIZFPFAST274,200.0,5391,True,echangeur,parc 1816
